round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
18,log_likelihood,42,144,190,1972.8868245068563,0.6611278503647193,0.8174297541824821,4.4024561776689045e-13,0.7194081630847834,3.95561962889046e-09
19,log_likelihood,42,152,182,1964.0263751332718,0.6641648386784906,0.8197742383646507,3.320810892682785e-13,0.7221396723540332,3.2379266554474413e-09
20,log_likelihood,42,160,174,1967.5819896173248,0.6629477661781047,0.8191075202046003,3.5995263573954484e-13,0.7155832670086206,5.215242239300677e-09
1,log_likelihood,123,8,326,4588.701562154269,0.05942364981715276,0.7304992066724194,1.7286037037508471e-09,0.4450360090324659,0.001202366329375885
2,log_likelihood,123,16,318,4740.747763328047,-0.003940850191541889,0.30228454121746995,0.032875183536704426,0.3198111089366264,0.02357224015970871
3,log_likelihood,123,24,310,4511.973469847286,0.09061559332220892,0.7076694466981572,9.112128893129986e-09,0.7446827828663662,5.642568002573003e-10
4,log_likelihood,123,32,302,4417.5450569033,0.1282812168759836,0.40683968463118714,0.003367700177175803,0.7802397011483695,2.3970372165561085e-11
5,log_likelihood,123,40,294,2735.9983530553413,0.6656155357678997,0.8204372707808927,3.064035678575404e-13,0.8463141772890341,9.969965280458654e-15
6,log_likelihood,123,48,286,2689.381849256991,0.6769130866309172,0.8251541246618028,1.7118172894417623e-13,0.8463550906910687,9.911276851697858e-15
7,log_likelihood,123,56,278,2646.9103303094516,0.6870370793061598,0.832577212241432,6.605582354423218e-14,0.846879101278747,9.188064924288475e-15
8,log_likelihood,123,64,270,2646.533696264852,0.6871261371810166,0.8317018794308232,7.40824884826466e-14,0.8546710174194233,2.877180247120598e-15
9,log_likelihood,123,72,262,2686.7127169810797,0.6775540768825155,0.825337200804183,1.6729868405167424e-13,0.8480496944081821,7.749456995960903e-15
10,log_likelihood,123,80,254,2687.3901561885655,0.6773914506008769,0.8251775220989904,1.7068074188578462e-13,0.8590409234550457,1.4560555655381089e-15
11,log_likelihood,123,88,246,2695.6070280801,0.6754156409748788,0.824112534634959,1.9495439707155812e-13,0.8575264596639001,1.848406609529775e-15
12,log_likelihood,123,96,238,2721.5728022005037,0.6691323241915732,0.8204011492160534,3.077524852674209e-13,0.8540847655992654,3.147138010826017e-15
13,log_likelihood,123,104,230,2805.627162726579,0.648379373524306,0.808872335224676,1.1919381390111033e-12,0.8541604831931724,3.1109633176512e-15
14,log_likelihood,123,112,222,2828.9203817690995,0.6425166017700128,0.8058027426338071,1.6833513176005197e-12,0.8546078522903893,2.9051712119349413e-15
15,log_likelihood,123,120,214,2805.808777428055,0.648333849626588,0.8089632761597118,1.1796987939342424e-12,0.8617666309540288,9.410689090117925e-16
16,log_likelihood,123,128,206,2839.5832482203245,0.6398166448962321,0.8043770880003187,1.9719940115898782e-12,0.8623499701244836,8.561112026257171e-16
17,log_likelihood,123,136,198,2837.5245988365987,0.6403387091521264,0.8047431157045272,1.893708141879299e-12,0.8581595423146205,1.6735066057322937e-15
18,log_likelihood,123,144,190,2811.493479203325,0.6469074214547248,0.8114670103100173,8.859621291651874e-13,0.8589711801467693,1.472231622807423e-15
19,log_likelihood,123,152,182,2698.9426764335744,0.674611837483913,0.83780102241443,3.285628298555557e-14,0.8636297803766749,6.945722741819415e-16
20,log_likelihood,123,160,174,2693.8493958186646,0.6758387842163445,0.837265285740947,3.53355919998977e-14,0.8596947290736251,1.3124189059542925e-15
1,log_likelihood,456,8,326,4664.763877529213,-0.7346515429016831,0.7544343805245719,2.5026295665567893e-10,0.5039790613886777,0.00019046087693110563
2,log_likelihood,456,16,318,4495.491607204093,-0.6110436162977964,0.7963320695740691,4.704419608148945e-12,0.8024477825717506,2.437972976129977e-12
3,log_likelihood,456,24,310,4362.3584155896,-0.5170350169250375,0.7992514746721979,3.4470740250436827e-12,0.8237045685101225,2.0509381819711998e-13
4,log_likelihood,456,32,302,4228.8517511822,-0.42560049368955877,0.8059305224930076,1.6595369402230595e-12,0.8261313044089013,1.5140331236135593e-13
5,log_likelihood,456,40,294,3488.43343348319,0.02990604961661869,0.8375915762722018,3.380521163410831e-14,0.8378517810814679,3.26301538423381e-14
6,log_likelihood,456,48,286,2925.798576360218,0.3175956847417746,0.8391049495098779,2.7494277528660422e-14,0.8001176475584973,3.1401819562261287e-12
7,log_likelihood,456,56,278,2488.3273035857405,0.5064082117177968,0.8367149564499516,3.806698684541405e-14,0.7957323321774235,5.011649285323159e-12
8,log_likelihood,456,64,270,2413.7265507347347,0.5355606043401799,0.83869569160719,2.9080487139165194e-14,0.8012344948918081,2.7825775430529e-12
9,log_likelihood,456,72,262,2268.038624223757,0.5899339560835343,0.8330976181540191,6.168298819503499e-14,0.8089541052886391,1.180927635829892e-12
10,log_likelihood,456,80,254,2170.6262453980976,0.6244022208990353,0.8296659655157964,9.648531445769255e-14,0.8119789559940186,8.351431603451086e-13
11,log_likelihood,456,88,246,2117.109742738169,0.6426945361146358,0.8278534229155576,1.217178752005431e-13,0.8159634240902277,5.240789195291263e-13
12,log_likelihood,456,96,238,2111.4074573315675,0.6446166980292154,0.8257082557829415,1.5968366300763343e-13,0.8201622867101073,3.1681543939358333e-13
13,log_likelihood,456,104,230,2101.419652292792,0.647970957145598,0.8204003905243764,3.07780878071171e-13,0.8203917296008637,3.0810517533143435e-13
14,log_likelihood,456,112,222,2092.9932224276445,0.6507884816649292,0.8149569100827319,5.901640100174135e-13,0.8168078783039857,4.741137549935248e-13
15,log_likelihood,456,120,214,2091.990895057026,0.6511228740045654,0.8167781518927727,4.757930754688205e-13,0.8210656021785692,2.8381836316685667e-13
16,log_likelihood,456,128,206,2102.801214135401,0.6475079275303326,0.8103872326466721,1.0029294929585812e-12,0.8148848231888041,5.951886481430273e-13
17,log_likelihood,456,136,198,2102.587866044483,0.6475794508823105,0.8121994114126343,8.141222914626648e-13,0.8178887743122435,4.16733641384224e-13
18,log_likelihood,456,144,190,2097.338474223435,0.6493369842532438,0.812266347639871,8.078397879865488e-13,0.8128673067647738,7.534584679811745e-13
19,log_likelihood,456,152,182,2059.930039101139,0.661734381946283,0.8181354743939695,4.0459461192717084e-13,0.8155411117174926,5.509028399506165e-13
20,log_likelihood,456,160,174,2044.9239587240565,0.6666447935681281,0.8204084966296359,3.074776488503915e-13,0.8160006374342375,5.217756283656127e-13
1,log_likelihood,789,8,326,2797.8529207707284,0.5083087754628293,0.8427327784331728,1.660748198833105e-14,0.3523843364206642,0.012080321749225346
2,log_likelihood,789,16,318,3096.393399678,0.39778029421561945,0.701269484750855,1.412104692543145e-08,0.4630696134905281,0.0007083568532041077
3,log_likelihood,789,24,310,2597.4798721874245,0.576213538800941,0.8453643394037943,1.1429095498024071e-14,0.721401483186312,3.418732576681057e-09
4,log_likelihood,789,32,302,2516.503584822637,0.6022247081286378,0.8511464183427742,4.904661501272943e-15,0.8342345955312004,5.306662339163445e-14
