round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
19,highExpression,456,152,182,2500.9822908225374,0.5013748854738356,0.7668240867176442,8.423949924027083e-11,0.3662713725890378,0.008896074408283798
20,highExpression,456,160,174,2502.417209145278,0.5008025570988002,0.7662869980973777,8.843255501471552e-11,0.3704373827158089,0.008095179183822302
1,highExpression,789,8,326,2797.8529207707284,0.5083087754628293,0.8427327784331728,1.660748198833105e-14,0.3523843364206642,0.012080321749225346
2,highExpression,789,16,318,2700.9564474469644,0.5417759717432037,0.8436574123147272,1.4575384559478166e-14,0.3564082555416011,0.011070136877735134
3,highExpression,789,24,310,2635.667588880542,0.5636610639240777,0.8436290211253304,1.463409775137637e-14,0.3545497031007601,0.011527307641860978
4,highExpression,789,32,302,2606.7829468655677,0.5731724547462964,0.8434405264757795,1.502964627717537e-14,0.3553185829123096,0.011336246693166541
5,highExpression,789,40,294,2544.6760410052975,0.5932686034807715,0.8425404321465315,1.706277656062503e-14,0.3536596228018079,0.011751935124171938
6,highExpression,789,48,286,2547.279601946092,0.5924358910352048,0.8425974167791759,1.692666834150046e-14,0.35354646707862925,0.011780759495793984
7,highExpression,789,56,278,2540.266995799681,0.5946768326639612,0.8269049336585116,1.3730471871918286e-13,0.18950112535001234,0.1874825583300482
8,highExpression,789,64,270,2245.543143829587,0.683272696390091,0.8813953696548742,3.0018325729015044e-17,0.4450536322908205,0.0012017615634435153
9,highExpression,789,72,262,2055.994577723358,0.7344864886422627,0.9009082131401018,5.039117806850231e-19,0.5579274634226898,2.558276978329119e-05
10,highExpression,789,80,254,1985.606299520124,0.7523553328053827,0.9051756597553531,1.8405426351759122e-19,0.5718134041822701,1.439576562690191e-05
11,highExpression,789,88,246,1997.2626114221293,0.7494392498880971,0.9030047401560158,3.090234127808242e-19,0.5402809905017414,5.123992050571919e-05
12,highExpression,789,96,238,2084.0414800233752,0.7271930602798369,0.8861845946597424,1.180416082140413e-17,0.409941103149574,0.0031110305210175623
13,highExpression,789,104,230,2043.2180106790543,0.7377761963795847,0.8998835749643864,6.374251944919938e-19,0.47486084565540065,0.000493256707520088
14,highExpression,789,112,222,2021.423597735907,0.7433404911671517,0.9099314225617773,5.655197458610649e-20,0.5734410276475148,1.343443911945697e-05
15,highExpression,789,120,214,2037.5509580875269,0.7392287826913798,0.9089441664648361,7.263317450537394e-20,0.558965879763737,2.4527842293895006e-05
16,highExpression,789,128,206,2059.28217351693,0.7336366819260303,0.9074976262665941,1.0427376341461896e-19,0.5063695568219526,0.00017547181170320822
17,highExpression,789,136,198,2061.303623139832,0.7331134857270984,0.907966653804954,9.279828353770416e-20,0.502199548648972,0.0002023650997194948
18,highExpression,789,144,190,2066.7132747721816,0.731710822339239,0.9075489416410114,1.0295520123781082e-19,0.4903268500705031,0.0003007199772495765
19,highExpression,789,152,182,2070.391570279551,0.7307549809322842,0.9074707779850129,1.0497004289332578e-19,0.5018149792616655,0.00020502497835608006
20,highExpression,789,160,174,2068.1501057549062,0.7313376499138761,0.9074031506778598,1.0674359689928916e-19,0.5070540085671735,0.00017138240326058297
1,highExpression,999,8,326,3962.245790235224,-0.9770989270259784,0.7195714390028215,3.908820998444952e-09,0.5533189575991591,3.078774643951618e-05
2,highExpression,999,16,318,2801.153855605029,0.01185767450153652,0.721328861302643,3.4370245389656224e-09,0.5649803930649842,1.916546019559279e-05
3,highExpression,999,24,310,2750.3759122684783,0.04735808334078928,0.7213021133481072,3.4437849900097516e-09,0.56615639366161,1.8252631399476442e-05
4,highExpression,999,32,302,2533.716735612576,0.19153412146032145,0.7208660263400164,3.555785945584567e-09,0.5775911327977347,1.1244976830825954e-05
5,highExpression,999,40,294,2573.364940705325,0.16603401991825695,0.7209971890141796,3.521743671517938e-09,0.5707906678991325,1.5031892855412237e-05
6,highExpression,999,48,286,2392.2966413965346,0.27926496076949636,0.7215172194338813,3.389770310517666e-09,0.570371243637763,1.5300188906847246e-05
7,highExpression,999,56,278,2270.194768477939,0.3509594781208929,0.7470781402686921,4.636884937738287e-10,0.6400844919923276,5.580502103212917e-07
8,highExpression,999,64,270,2345.6843313821155,0.3070774278102144,0.7206737775382661,3.6062429202724294e-09,0.43813248761022877,0.0014613021712283976
9,highExpression,999,72,262,2337.8711035067477,0.3116858443948123,0.7202303862055315,3.725195895343175e-09,0.41016484671296194,0.003093199998694312
10,highExpression,999,80,254,2313.0736677077284,0.32621008825501896,0.7209591400098143,3.531587272246873e-09,0.3666171276994428,0.008827092767814397
11,highExpression,999,88,246,2267.2515879301736,0.35264127670780054,0.7296024263813558,1.8510359111431022e-09,0.45980335077281875,0.0007812792863283075
12,highExpression,999,96,238,2388.663968775361,0.2814521532363947,0.7045820397832608,1.1272550112925708e-08,0.24003327334945018,0.09315050494884765
13,highExpression,999,104,230,2402.400654151194,0.2731639659691003,0.7021286997343774,1.3323401168057597e-08,0.20228177653016025,0.1588996242988888
14,highExpression,999,112,222,2394.1013417606687,0.2781771346360419,0.7108400264593024,7.302800229177943e-09,0.38356126520682904,0.0059664379233857895
15,highExpression,999,120,214,2395.34070376802,0.2774296045503911,0.7121059504150029,6.679602646595242e-09,0.395814210104198,0.004437653645775156
16,highExpression,999,128,206,2417.617697192069,0.26392710225486715,0.7086151438128475,8.532559608706315e-09,0.37233004874284215,0.0077524745913324315
17,highExpression,999,136,198,2413.1794485528717,0.26662717835526306,0.710329252135536,7.56940538318219e-09,0.35700452753116707,0.010926808360320625
18,highExpression,999,144,190,2414.997845689109,0.26552152872966184,0.7104137612354823,7.524671884259177e-09,0.3571180069753511,0.010899712421893222
19,highExpression,999,152,182,2414.8263480643886,0.2656258409061504,0.7114723420282495,6.984984724401579e-09,0.3615110088592949,0.009894278562116948
20,highExpression,999,160,174,2414.478775001017,0.26583722696046896,0.710958748086879,7.242109845318728e-09,0.3692287321675806,0.008320833181637817
