round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
12,random,456,0.237321864680074,10464.577,"[0.0589888  0.11149385 0.04505214 0.05301551 0.43105515 0.04088338
 0.42848837 0.576182  ]",0.14768918415592544,7884.53,"[0.0374861  0.24505876 0.04165747 0.03711665 0.07506471 0.03866439
 0.17686832 0.43412402]"
13,random,456,0.20193471754251385,10303.331,"[0.04213944 0.07790392 0.0587088  0.56730375 0.06441615 0.04793081
 0.05923129 0.56730375]",0.2448371430272604,16591.07,"[0.05100559 0.06362264 0.05431361 0.57012663 0.06369312 0.03987517
 0.04427833 0.91350809]"
14,random,456,0.11443677476317653,6842.809,"[0.04335459 0.0756372  0.05559443 0.37676663 0.07833248 0.04627566
 0.0893881  0.07616791]",0.08792814355905733,6095.98,"[0.0456686  0.05922829 0.04783853 0.33564605 0.03565645 0.04519894
 0.04178355 0.03556395]"
15,random,456,0.0977151590163377,3531.9565,"[0.07506475 0.04657357 0.05256276 0.17686851 0.0426297  0.07208104
 0.05830304 0.19447033]",0.10274334262470483,5191.61,"[0.12027301 0.04724993 0.04232315 0.11360026 0.04791231 0.04993522
 0.04838362 0.28585123]"
16,random,456,0.12715571574245785,10655.503,"[0.05061242 0.09766872 0.58669442 0.04814355 0.0463195  0.021488
 0.04602074 0.03809915]",0.07696731922707706,3065.4,"[0.03932071 0.12000377 0.16878162 0.04060472 0.04671475 0.04964616
 0.05071322 0.05019841]"
17,random,456,0.3046039841484918,10256.019,"[0.04914994 0.56469872 0.56469872 0.04769459 0.3435663  0.05783002
 0.04758492 0.56469872]",0.23313729585748275,17044.17,"[0.05587567 0.1233239  0.93845588 0.06053376 0.29804487 0.06181887
 0.04137611 0.13495867]"
18,random,456,0.2452987994843553,9845.437,"[0.13359499 0.06019437 0.15963459 0.54209198 0.06417522 0.05697643
 0.24505847 0.54209198]",0.2343426443522003,15947.53,"[0.21187231 0.0706241  0.11177612 0.13665012 0.0705349  0.09084002
 0.15287913 0.87807463]"
19,random,456,0.12765026075151692,6074.4746,"[0.24016078 0.04679867 0.07076401 0.04169244 0.03796094 0.33446195
 0.0847008  0.08214355]",0.12217462658905637,6631.3,"[0.17416431 0.04075999 0.05587347 0.04028702 0.04961973 0.36512089
 0.06827468 0.10431766]"
20,random,456,0.128857689385871,9792.848,"[0.53919642 0.10511385 0.06053388 0.03746521 0.04412622 0.05054823
 0.04833755 0.06224063]",0.10494019470788368,6758.27,"[0.37211188 0.09229801 0.06201654 0.03798605 0.05297124 0.04144438
 0.05176212 0.06109318]"
1,random,789,0.1453128457383945,3692.6104,"[0.20302315 0.05942907 0.1405256  0.20331597 0.14595886 0.11155095
 0.05906931 0.14569307]",0.13123892514002652,6058.3,"[0.32796349 0.04986309 0.04542854 0.33357138 0.0487239  0.05915781
 0.05587567 0.04448866]"
2,random,789,0.1365916584989169,5188.6055,"[0.13434244 0.05874375 0.16033736 0.2856858  0.08915678 0.16139802
 0.05874375 0.05602626]",0.07052898520947996,2248.29,"[0.05657659 0.04683643 0.05880653 0.12379136 0.04182981 0.06310122
 0.08603931 0.04165747]"
3,random,789,0.12294806883523773,5956.4507,"[0.14650752 0.04872374 0.12122989 0.04182943 0.06376274 0.05209677
 0.32796353 0.10199163]",0.0978973145512414,7637.32,"[0.03946882 0.04468798 0.03556395 0.0412291  0.0374861  0.06037519
 0.42051258 0.04056948]"
4,random,789,0.10610093397633238,6828.3203,"[0.12379144 0.0558755  0.05915766 0.03002127 0.06037524 0.37596887
 0.04789159 0.02713742]",0.18700924241278877,15367.79,"[0.09229801 0.05558936 0.06012412 0.04329991 0.06762167 0.84615402
 0.04894304 0.16115248]"
5,random,789,0.2325646859455063,9674.809,"[0.37423851 0.53269716 0.03722962 0.04448889 0.0309177  0.10804484
 0.53269716 0.04986321]",0.19089461567278307,8818.49,"[0.37566492 0.19865345 0.0599727  0.04421612 0.05842771 0.12000377
 0.48554807 0.06126717]"
6,random,789,0.054407127799973726,1332.4716,"[0.04968687 0.03582298 0.05573249 0.04165767 0.051145   0.07336619
 0.051145   0.04152957]",0.05407228688617977,1126.34,"[0.03974137 0.03798605 0.05640535 0.05207762 0.06201654 0.05019841
 0.06053376 0.03866439]"
7,random,789,0.18335050375899814,8290.171,"[0.0621901  0.05938071 0.06101804 0.04480809 0.4564587  0.08642375
 0.4564587  0.12153979]",0.11674164815840003,5689.94,"[0.04151706 0.04207813 0.04153964 0.04519894 0.28451437 0.04450518
 0.31328939 0.04582332]"
8,random,789,0.07035667231504993,2937.5198,"[0.04862596 0.05110035 0.04670597 0.05218577 0.06399837 0.04523135
 0.16174051 0.04778335]",0.05827138919281755,1321.61,"[0.06827468 0.04270306 0.04372938 0.04137611 0.06243555 0.03790676
 0.07276815 0.05930812]"
9,random,789,0.18033430128602856,7472.591,"[0.41144255 0.05789839 0.41144255 0.04542847 0.11203116 0.20486603
 0.04056936 0.04241953]",0.14389613259390518,7884.53,"[0.43412402 0.04043017 0.13495867 0.04783908 0.12027301 0.17686832
 0.04354053 0.06011421]"
10,random,789,0.08758253619699419,2926.8389,"[ 0.10688726  0.07036864  0.06047228 -0.00175398  0.03206549  0.10796352
  0.10688726  0.16115241]",0.17772121536745805,6676.65,"[0.19447052 0.06848116 0.04961973 0.24505876 0.04783578 0.36761787
 0.17416431 0.15963447]"
11,random,789,0.20302641062369367,6960.4155,"[0.38324206 0.38324206 0.04571396 0.1603934  0.03839664 0.38324206
 0.03614444 0.06259104]",0.2953855563759267,14916.64,"[0.26836025 0.77881315 0.04653635 0.0693412  0.05063669 0.82131359
 0.05922829 0.07790417]"
12,random,789,0.1633722132661773,8048.26,"[0.04450548 0.37471345 0.13004281 0.0536583  0.0451989  0.05657666
 0.05353186 0.44313901]",0.23866693877482567,16415.85,"[0.04917759 0.47152147 0.09696492 0.06132443 0.04975958 0.072081
 0.05036084 0.90386044]"
13,random,789,0.11038050978401846,8691.921,"[0.05949682 0.04137611 0.04256497 0.05826312 0.47857914 0.03790676
 0.04663428 0.04686779]",0.13699124829238557,11905.41,"[0.04178355 0.0456609  0.06468476 0.04863635 0.65551458 0.05180617
 0.05361765 0.0456686 ]"
14,random,789,0.23537324005866783,8921.447,"[0.19086721 0.04646788 0.33357126 0.06347766 0.06327487 0.49121692
 0.05073712 0.49121692]",0.20156634505271312,10354.6,"[0.11360026 0.04393751 0.48432298 0.06144171 0.05155454 0.10336016
 0.05388524 0.57012663]"
15,random,789,0.13087914229320183,8570.752,"[0.0405743  0.05595728 0.04206917 0.47190755 0.16511119 0.07276837
 0.04583543 0.06820352]",0.17810360540115933,14719.7,"[0.04735345 0.06022598 0.06545725 0.81047003 0.14816542 0.06975745
 0.05426571 0.05399922]"
16,random,789,0.10914555849221254,7245.081,"[0.0821594  0.04861506 0.05964066 0.39891581 0.05486315 0.04591944
 0.0656531  0.04684116]",0.08098170326209923,3335.43,"[0.07946898 0.07244384 0.06302909 0.18364954 0.04315786 0.04607385
 0.06362264 0.04405754]"
17,random,789,0.11352031560490676,7427.272,"[0.04896142 0.03934805 0.40894729 0.0566247  0.12177332 0.04896142
 0.06268253 0.0474791 ]",0.1163868872459903,8561.71,"[0.047354   0.06562133 0.4714097  0.04667125 0.06909123 0.05620548
 0.05869475 0.04080954]"
18,random,789,0.0749807127534212,3347.5571,"[0.04153916 0.18431726 0.06296856 0.04435284 0.02762011 0.07278165
 0.06077072 0.05702441]",0.08700522608198635,5191.61,"[0.04268654 0.28585123 0.06201158 0.04075999 0.05565543 0.04964616
 0.05757703 0.04560969]"
19,random,789,0.2500060513578493,8932.462,"[0.35586264 0.06942488 0.21816209 0.05254591 0.05997189 0.16087499
 0.49182339 0.42976728]",0.2622342797338164,17792.84,"[0.33564605 0.06369312 0.12683178 0.05621759 0.05899428 0.07128648
 0.97967782 0.23600686]"
20,random,789,0.27708577243939897,9424.69,"[0.07194436 0.04485697 0.0452567  0.5189256  0.05556587 0.5189256
 0.5189256  0.26316458]",0.448372718134084,17044.17,"[0.05284736 0.04310004 0.04721139 0.87984592 0.06260898 0.91122695
 0.93845588 0.36183654]"
1,random,999,0.3605038176070372,14719.708,"[0.21255852 0.13740342 0.81047047 0.81047047 0.04133501 0.28229266
 0.1624561  0.19399787]",0.07274829999289582,2451.11,"[0.10890087 0.04056948 0.13495867 0.06519296 0.04075999 0.06432301
 0.04051221 0.03974137]"
2,random,999,0.1183614004219027,6118.289,"[0.0416101  0.12217645 0.10310323 0.06432251 0.09661477 0.04135301
 0.33687439 0.06432251]",0.12567274289696478,10319.16,"[0.0406361  0.04917759 0.07036862 0.05620108 0.04153964 0.04372938
 0.5681753  0.05431361]"
3,random,999,0.11963501066427927,7168.505,"[0.11031007 0.04917774 0.07482557 0.05326365 0.0415833  0.39469951
 0.06201509 0.0938676 ]",0.16353856594048455,12773.58,"[0.21187231 0.03881746 0.04109971 0.06366229 0.04833958 0.70331622
 0.04965882 0.04582332]"
4,random,999,0.1118160020968856,5924.7275,"[0.21187219 0.057385   0.05707575 0.32621685 0.04153951 0.041485
 0.04294159 0.04372915]",0.10159153023221881,6676.65,"[0.36761787 0.05880653 0.04207813 0.06168618 0.05100559 0.06243555
 0.05470509 0.0487239 ]"
5,random,999,0.18534980107332177,8289.5205,"[0.19971874 0.45642289 0.19971874 0.0551116  0.19558945 0.05827928
 0.04965841 0.14848066]",0.25100697290135787,17792.84,"[0.08214105 0.97967782 0.07276815 0.05551668 0.05657659 0.06181887
 0.05297124 0.48432298]"
6,random,999,0.21525134037552968,9873.408,"[0.48432304 0.16729437 0.05132564 0.06664943 0.0410997  0.5436321
 0.04490047 0.18363766]",0.16997450393672303,14916.64,"[0.14211155 0.05922829 0.04885769 0.04151706 0.04088332 0.82131359
 0.05558936 0.04041586]"
7,random,999,0.08570499227513356,4114.832,"[0.05024504 0.22656359 0.06168634 0.06038591 0.0462264  0.03653901
 0.03968939 0.10890063]",0.1041982517190555,6571.65,"[0.0481799  0.36183654 0.09032355 0.04863635 0.04671475 0.0540339
 0.04741126 0.06909123]"
8,random,999,0.09512105349450133,5688.63,"[0.0703685  0.07790365 0.04099121 0.04627269 0.04955652 0.31321726
 0.04468039 0.05648758]",0.10634373909435905,7701.99,"[0.05399481 0.06229569 0.04735345 0.04624509 0.06022598 0.42407332
 0.04721139 0.04060472]"
9,random,999,0.057871586179186495,1145.585,"[0.05374078 0.05279727 0.06218151 0.05118902 0.06307617 0.05382541
 0.04104763 0.04770407]",0.07033445822542753,1928.67,"[0.04201426 0.09629703 0.10619301 0.06827468 0.05620548 0.04329991
 0.05207651 0.05284736]"
10,random,999,0.3516324256838785,10593.866,"[0.07934757 0.07010006 0.04778324 0.58330069 0.58330069 0.05531451
 0.58330069 0.58330069]",0.1489208140099203,5226.0,"[0.10249627 0.07466607 0.04427833 0.28774475 0.28451437 0.06012412
 0.12799025 0.11328311]"
11,random,999,0.24347300313071643,8084.7656,"[0.44514904 0.35016901 0.04399756 0.44514904 0.05148969 0.35016901
 0.05193279 0.05233575]",0.35312832335650013,15947.53,"[0.87807463 0.4714097  0.04405754 0.72193979 0.06053376 0.33357138
 0.04573743 0.04142401]"
12,random,999,0.1134688824559917,6571.647,"[0.04626372 0.36183638 0.04638917 0.07600493 0.1084154  0.04311232
 0.11180808 0.04056957]",0.1155434877277583,5413.07,"[0.04219155 0.29804487 0.04653635 0.12027301 0.05708369 0.04341774
 0.20021165 0.04189643]"
13,random,999,0.1367791986472498,5992.3613,"[0.05074508 0.0569174  0.04597712 0.06053316 0.32994078 0.03933971
 0.32796334 0.09439666]",0.11406521742516118,6631.3,"[0.04306315 0.06213987 0.0443868  0.04591748 0.36512089 0.04783578
 0.18364954 0.04667125]"
14,random,999,0.17466046596711482,9076.293,"[0.49974276 0.05822326 0.04526392 0.04472408 0.04458516 0.04472408
 0.04736913 0.49974276]",0.12917789751761408,6758.27,"[0.26836025 0.05757703 0.0581904  0.04448866 0.05063669 0.04012404
 0.05842771 0.37211188]"
15,random,999,0.17473219744150448,8641.604,"[0.04093362 0.08899611 0.06243557 0.04254537 0.47580866 0.05435726
 0.04401746 0.47580866]",0.24027332134444118,16591.07,"[0.03711665 0.09696492 0.06201158 0.05347339 0.48554807 0.07389193
 0.04434826 0.91350809]"
16,random,999,0.060843155734758084,1392.2521,"[0.0327762  0.06085195 0.06432275 0.05322537 0.05657674 0.05657674
 0.04642597 0.07665772]",0.05754696711017422,1149.23,"[0.06327687 0.04783853 0.05019841 0.04998753 0.05673461 0.05423322
 0.04468798 0.05621759]"
17,random,999,0.11740054233269573,9119.613,"[0.05916415 0.04573784 0.05500639 0.05620558 0.50212798 0.04318852
 0.06222356 0.03965723]",0.16527523217147466,15979.7,"[0.06149181 0.04137611 0.04727471 0.04542854 0.87984592 0.03866439
 0.0610238  0.04025508]"
18,random,999,0.11158673923776094,4645.9355,"[0.25580627 0.06182366 0.05214645 0.25580627 0.04410016 0.04668787
 0.06182366 0.0423648 ]",0.17134113461914224,9555.68,"[0.42051258 0.06156835 0.05114489 0.52613792 0.04450518 0.0599727
 0.0531568  0.0429679 ]"
