round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
12,log_likelihood,123,0.4267024481445571,9585.328,"[0.52777035 0.06459481 0.52777035 0.52777035 0.29110369 0.14322946
 0.52777035 0.52777035]",0.2852489633913095,11905.41,"[0.28451437 0.0610238  0.06519296 0.65551458 0.36761787 0.18825808
 0.10336016 0.37211188]"
13,log_likelihood,123,0.17866784971219593,8984.354,"[0.49468055 0.08227654 0.15448591 0.06340406 0.04741781 0.04970432
 0.11164218 0.31023236]",0.11788447547079126,4233.07,"[0.18968579 0.06035152 0.11177612 0.06037519 0.05071322 0.05657659
 0.10431766 0.2330738 ]"
14,log_likelihood,123,0.14524428770537948,8830.481,"[0.48620832 0.1092006  0.05314061 0.05797935 0.19062426 0.04493965
 0.07789155 0.04807735]",0.1506422804804167,13111.82,"[0.72193979 0.06975745 0.05673461 0.04998753 0.06478827 0.04917759
 0.05399481 0.04137611]"
15,log_likelihood,123,0.2286924001332308,8946.189,"[0.49257923 0.24204965 0.24204965 0.49257923 0.07390883 0.04696081
 0.04578728 0.04578728]",0.12808636003743068,7884.53,"[0.11328311 0.06304947 0.12683178 0.43412402 0.0705349  0.0456609
 0.04434826 0.04405754]"
16,log_likelihood,123,0.14857885800657794,5354.132,"[0.04705464 0.14594423 0.29479972 0.06264723 0.14594423 0.29479972
 0.04705464 0.05433829]",0.08157846233172893,3204.23,"[0.04268654 0.06909123 0.09076293 0.06201158 0.0693412  0.17642563
 0.04153964 0.04803289]"
17,log_likelihood,123,0.15431505071729545,7637.327,"[0.09933989 0.06251999 0.07342649 0.42051297 0.06251999 0.20001848
 0.04677483 0.16965144]",0.13106446483485246,6095.98,"[0.07276815 0.06144171 0.07036862 0.33564605 0.0531568  0.17416431
 0.04336488 0.15287913]"
18,log_likelihood,123,0.19294895011248425,8796.23,"[0.05638112 0.48432245 0.04533485 0.29118908 0.24874168 0.12379074
 0.1240224  0.04507824]",0.13683161336936794,6294.92,"[0.05036084 0.34659973 0.03881746 0.14612984 0.19283633 0.09229801
 0.09696492 0.04219155]"
19,log_likelihood,123,0.2148892463274384,7861.0156,"[0.09402543 0.37807933 0.05276244 0.43282931 0.06102867 0.06432261
 0.43282931 0.06432261]",0.19676733889841244,8563.74,"[0.08214105 0.47152147 0.05423322 0.36183654 0.06243555 0.05833741
 0.29804487 0.05838917]"
20,log_likelihood,123,0.23901778392381387,7545.6035,"[0.10804555 0.14613143 0.41546265 0.10804555 0.36423714 0.14613143
 0.40922646 0.06035015]",0.23683218541946732,8561.71,"[0.12000377 0.19038781 0.4714097  0.09032355 0.44132479 0.18264028
 0.18364954 0.06181887]"
1,log_likelihood,456,0.24174903475998788,4910.7285,"[0.26779308 0.25933252 0.27038583 0.26043695 0.26009597 0.15993976
 0.13990196 0.15982854]",0.16402248737925704,6438.58,"[0.09073926 0.06344975 0.04791231 0.05100559 0.06762167 0.28585123
 0.24505876 0.35450968]"
2,log_likelihood,456,0.1646731926123908,5889.479,"[0.32145871 0.32427605 0.07208085 0.06870972 0.08079001 0.08273612
 0.1781049  0.08277691]",0.07741919388017811,2926.84,"[0.16115248 0.1152796  0.04970452 0.05869475 0.04727471 0.0374861
 0.03974137 0.0599727 ]"
3,log_likelihood,456,0.17460058005730328,9555.674,"[0.12986656 0.04255299 0.04085675 0.4218605  0.03969345 0.0410708
 0.04189618 0.52613758]",0.15346599165154282,7861.01,"[0.05361765 0.04653635 0.04648405 0.432829   0.04721139 0.04075999
 0.04056948 0.42051258]"
4,log_likelihood,456,0.5498626257065119,16893.777,"[0.47066773 0.47001002 0.47292402 0.40116645 0.19565035 0.17267581
 0.93017523 0.93017523]",0.3686632273377412,16549.64,"[0.48432298 0.20486589 0.12379136 0.06432301 0.06126717 0.05915781
 0.80202985 0.91122695]"
5,log_likelihood,456,0.3192842946992161,16003.285,"[0.88114452 0.12317816 0.05960262 0.06129383 0.88114452 0.11949875
 0.10021771 0.12179433]",0.2245010614973624,17792.84,"[0.28266599 0.07946898 0.05558936 0.04965882 0.97967782 0.07244384
 0.06827468 0.06310122]"
6,log_likelihood,456,0.6740208725170181,14187.271,"[0.07123738 0.19828513 0.7811544  0.7811544  0.7811544  0.7811544
 0.7811544  0.7811544 ]",0.5058877133342543,17044.17,"[0.04839794 0.06562133 0.77881315 0.93845588 0.28774475 0.87984592
 0.59786983 0.1233239 ]"
7,log_likelihood,456,0.683386005120777,12402.671,"[0.68289388 0.68289388 0.68289388 0.68289388 0.24505866 0.68289388
 0.68289388 0.68289388]",0.6445917425197113,18161.93,"[1.         0.23294606 0.13665012 0.84615402 0.13874627 0.91350809
 0.90386044 0.5681753 ]"
8,log_likelihood,456,0.516826603775399,12222.094,"[0.67295126 0.67295126 0.28585232 0.09074278 0.67295126 0.05916104
 0.67295126 0.67295126]",0.35652513288633964,14719.7,"[0.81047003 0.21029924 0.19447052 0.06369312 0.23770491 0.04941435
 0.48554807 0.57012663]"
9,log_likelihood,456,0.22040503841623413,11392.496,"[0.07721643 0.62727343 0.62727343 0.06344231 0.0510053  0.07721643
 0.04791273 0.04942037]",0.08303846297146664,2451.11,"[0.06848116 0.11300891 0.13495867 0.06053376 0.04391384 0.10619301
 0.0409114  0.04262708]"
10,log_likelihood,456,0.30820436306916144,10661.222,"[0.16115329 0.58700929 0.04602243 0.35451216 0.58700929 0.35451216
 0.11527923 0.06089962]",0.19272165683439338,5689.94,"[0.10890087 0.31328939 0.05189537 0.21187231 0.26836025 0.30692773
 0.10600801 0.04993522]"
11,log_likelihood,456,0.23411486087247407,10262.758,"[0.06199192 0.19190274 0.13502654 0.56506978 0.04441229 0.11064351
 0.04745962 0.56506978]",0.19846237425829666,12773.58,"[0.05114489 0.24130585 0.15963447 0.70331622 0.04643064 0.10800449
 0.04624509 0.10332217]"
12,log_likelihood,456,0.2542156140292173,10060.147,"[0.24016164 0.05837674 0.04705506 0.55391401 0.55391401 0.05724106
 0.06762228 0.29110356]",0.16590658379946932,6676.65,"[0.17652144 0.06201654 0.04124286 0.16878162 0.28451437 0.05828455
 0.0610238  0.36761787]"
13,log_likelihood,456,0.2720498573334008,9676.691,"[0.53280083 0.53280083 0.53280083 0.08227653 0.14322918 0.06432291
 0.06432291 0.04797927]",0.13734069303240584,6758.27,"[0.10336016 0.37211188 0.18968579 0.06035152 0.11177612 0.06037519
 0.06156835 0.05071322]"
14,log_likelihood,456,0.2597213739485061,9178.18,"[0.05750154 0.10976412 0.50535266 0.50535266 0.10976412 0.05750154
 0.05928586 0.50535266]",0.2904774563741417,15947.53,"[0.05657659 0.10431766 0.72193979 0.87807463 0.06975745 0.05673461
 0.04998753 0.19865345]"
15,log_likelihood,456,0.2507474667072084,9316.9,"[0.04508457 0.07789139 0.04866213 0.51299066 0.21894771 0.20837034
 0.21894771 0.51299066]",0.13567470943149484,7884.53,"[0.04917759 0.05399481 0.04137611 0.11328311 0.06304947 0.11585443
 0.12683178 0.43412402]"
16,log_likelihood,456,0.11731478629481176,9094.033,"[0.50071954 0.04560213 0.07390891 0.04720524 0.05742646 0.04610811
 0.04610811 0.04560213]",0.1623112788752022,15566.93,"[0.85711871 0.04324045 0.0705349  0.0456609  0.04591748 0.04434826
 0.04405754 0.04268654]"
17,log_likelihood,456,0.15726551761893343,5634.4146,"[0.13536683 0.31023215 0.13536683 0.31023215 0.04472184 0.05721935
 0.10067384 0.06264752]",0.08559172323173925,3204.23,"[0.06909123 0.09076293 0.0693412  0.17642563 0.04153964 0.04803289
 0.07276815 0.06144171]"
18,log_likelihood,456,0.20385081804586852,8596.49,"[0.07342636 0.47332471 0.06240597 0.16934472 0.04694782 0.18524137
 0.05550843 0.43282853]",0.1631182888190502,6095.98,"[0.07036862 0.33564605 0.0531568  0.17416431 0.04336488 0.15287913
 0.05036084 0.31955855]"
19,log_likelihood,456,0.1282933140424163,4565.046,"[0.04547289 0.20486634 0.25135247 0.12379148 0.11331582 0.06432324
 0.04426748 0.09602215]",0.1014057637012588,3502.28,"[0.03881746 0.14612984 0.19283633 0.09229801 0.09696492 0.05431361
 0.04219155 0.08214105]"
20,log_likelihood,456,0.2583172796938478,8796.245,"[0.42743217 0.05590716 0.48432326 0.37619374 0.06086497 0.05931755
 0.37619374 0.05931755]",0.24759421485435013,8563.74,"[0.47152147 0.05423322 0.45589924 0.36183654 0.06243555 0.05833741
 0.29804487 0.05838917]"
1,log_likelihood,789,0.10616498045790007,2749.4014,"[0.0703687  0.05237027 0.10635659 0.05209696 0.05240777 0.15138267
 0.1445668  0.15114015]",0.16161381203284325,6438.58,"[0.09073926 0.04573743 0.04791231 0.05100559 0.06762167 0.28585123
 0.24505876 0.35450968]"
2,log_likelihood,789,0.23757277128682286,5906.954,"[0.32438986 0.32523824 0.24864774 0.17451779 0.1692376  0.16913366
 0.16639756 0.16944173]",0.07741919388017811,2926.84,"[0.16115248 0.1152796  0.04970452 0.05869475 0.04727471 0.0374861
 0.03974137 0.0599727 ]"
3,log_likelihood,789,0.10844803022840764,3707.2856,"[0.04884826 0.11449433 0.09550155 0.09451056 0.09507791 0.09572398
 0.04919794 0.20412399]",0.10023935055361871,7637.32,"[0.04142401 0.05361765 0.04653635 0.04648405 0.04721139 0.04075999
 0.04056948 0.42051258]"
4,log_likelihood,789,0.23125934860146036,6828.322,"[0.29425804 0.29765621 0.05378618 0.05990092 0.08475967 0.37596895
 0.37596895 0.15827919]",0.28098307198930034,16549.64,"[0.48432298 0.12379136 0.06432301 0.06126717 0.05915781 0.91122695
 0.28266599 0.07946898]"
5,log_likelihood,789,0.20550296719728461,8835.015,"[0.05962394 0.06079862 0.48645792 0.07789507 0.48645792 0.18256153
 0.07878358 0.07859866]",0.19924160532951826,17792.84,"[0.05558936 0.04965882 0.97967782 0.07244384 0.12799025 0.06827468
 0.06310122 0.04839794]"
6,log_likelihood,789,0.5094542168650613,9242.91,"[0.18388194 0.50891674 0.50891674 0.50891674 0.50891674 0.50891674
 0.50891674 0.50891674]",0.595658322442418,17044.17,"[0.06562133 0.77881315 0.93845588 0.70853098 0.28774475 0.87984592
 0.59786983 0.1233239 ]"
7,log_likelihood,789,0.5728504500581695,10293.737,"[0.56677552 0.56677552 0.56677552 0.56677552 0.24505847 0.56677552
 0.56677552 0.56677552]",0.677541079486691,18161.93,"[1.         0.23294606 0.13665012 0.84615402 0.13874627 0.91350809
 0.90386044 0.81047003]"
8,log_likelihood,789,0.3421951375052698,11089.38,"[0.28585195 0.08055409 0.19190283 0.61058378 0.0457363  0.61058378
 0.61058378 0.08055409]",0.25425126069658815,10354.6,"[0.19447052 0.06369312 0.20021165 0.23770491 0.04941435 0.48554807
 0.57012663 0.06848116]"
9,log_likelihood,789,0.3497748071715705,10664.251,"[0.58717609 0.58717609 0.58717609 0.05114485 0.05100579 0.0733204
 0.04791255 0.58717609]",0.22222214568265108,14916.64,"[0.82131359 0.11300891 0.13495867 0.06053376 0.04391384 0.10619301
 0.0409114  0.31328939]"
10,log_likelihood,789,0.3080024912501044,10014.368,"[0.04757659 0.35450947 0.55139339 0.35450947 0.04970487 0.19467226
 0.16115346 0.55139339]",0.25085467579375104,10075.19,"[0.05189537 0.21187231 0.26836025 0.30692773 0.04993522 0.24130585
 0.15963447 0.55474225]"
11,log_likelihood,789,0.2422708976883456,9839.208,"[0.54174903 0.04441194 0.24016024 0.04441194 0.11527898 0.04746055
 0.54174903 0.20633046]",0.20171976529533184,12773.58,"[0.70331622 0.04450518 0.30373534 0.04643064 0.10800449 0.04624509
 0.10332217 0.12779809]"
12,log_likelihood,789,0.3197920745674643,9677.001,"[0.05583964 0.04705458 0.53281788 0.53281788 0.04982069 0.06762192
 0.53281788 0.53281788]",0.18991786259081073,11905.41,"[0.06201654 0.04124286 0.16878162 0.28451437 0.05828455 0.0610238
 0.06519296 0.65551458]"
13,log_likelihood,789,0.23389897911407653,9180.265,"[0.29110342 0.16039343 0.50546746 0.50546746 0.07989474 0.0643231
 0.0643231  0.04901602]",0.14713023729836133,6676.65,"[0.36761787 0.18825808 0.10336016 0.18968579 0.06035152 0.06037519
 0.06156835 0.05071322]"
14,log_likelihood,789,0.22694169880935564,8827.883,"[0.05264168 0.11164177 0.31023185 0.48606524 0.48606524 0.11164177
 0.05264168 0.05789882]",0.2951582338495282,15947.53,"[0.05657659 0.10431766 0.2330738  0.72193979 0.87807463 0.06975745
 0.05673461 0.04998753]"
15,log_likelihood,789,0.2568385730065013,9120.284,"[0.19062399 0.50216492 0.04494015 0.07663808 0.04943958 0.50216492
 0.2613523  0.2613523 ]",0.09670896283303652,3607.93,"[0.06478827 0.19865345 0.04917759 0.05399481 0.04137611 0.11328311
 0.06304947 0.12683178]"
16,log_likelihood,789,0.11634186327871969,8813.574,"[0.4852774  0.04560209 0.07340289 0.04782701 0.05592077 0.05592077
 0.04578763 0.04578763]",0.10448195562304884,7884.53,"[0.43412402 0.04324045 0.0705349  0.0456609  0.04043017 0.04591748
 0.04434826 0.04405754]"
17,log_likelihood,789,0.1544993150551771,5354.1475,"[0.04513006 0.16968204 0.29480058 0.0626474  0.16968204 0.29480058
 0.04513006 0.05424635]",0.08157846233172893,3204.23,"[0.04268654 0.06909123 0.09076293 0.06201158 0.0693412  0.17642563
 0.04153964 0.04803289]"
18,log_likelihood,789,0.14138702089905672,7637.3037,"[0.09934012 0.09934012 0.06251979 0.05321175 0.42051168 0.06251979
 0.1947879  0.04746601]",0.11637468251219486,6095.98,"[0.04314464 0.07276815 0.06144171 0.072081   0.33564605 0.0531568
 0.17416431 0.04336488]"
19,log_likelihood,789,0.1531889470022239,5425.779,"[0.1696513  0.0516716  0.29874462 0.04533482 0.24874135 0.12378982
 0.12949493 0.05905472]",0.13572060821564577,5803.8,"[0.15287913 0.05036084 0.31955855 0.03881746 0.19283633 0.09229801
 0.09696492 0.05431361]"
20,log_likelihood,789,0.24570304034369853,8796.244,"[0.04426824 0.08554535 0.3780796  0.05590695 0.4843232  0.31955889
 0.06102886 0.3780796 ]",0.2796466162008662,9555.68,"[0.04219155 0.08214105 0.47152147 0.05423322 0.45589924 0.36183654
 0.06243555 0.52613792]"
1,log_likelihood,999,0.22927587462154847,3911.0212,"[0.21388383 0.21534172 0.21343023 0.21272973 0.21381598 0.19338891
 0.21255852 0.21084366]",0.13556314468698438,5191.61,"[0.09073926 0.04573743 0.05100559 0.06762167 0.28585123 0.24505876
 0.16115248 0.04970452]"
2,log_likelihood,999,0.1297345536477269,2894.0403,"[0.06375697 0.14582889 0.14851523 0.15934652 0.1479039  0.14944591
 0.09633827 0.04287428]",0.05232131940270543,1089.22,"[0.05869475 0.04727471 0.0374861  0.03974137 0.0599727  0.04142401
 0.05361765 0.04653635]"
3,log_likelihood,999,0.1994892080474406,5956.4517,"[0.04255727 0.25971245 0.04179137 0.0413353  0.09938128 0.32796358
 0.32666171 0.32755173]",0.23356805557236104,8796.24,"[0.04648405 0.432829   0.04721139 0.04075999 0.04056948 0.42051258
 0.48432298 0.20486589]"
4,log_likelihood,999,0.347740382639819,14719.701,"[0.3532205  0.34275546 0.06229351 0.05511246 0.8104701  0.07790511
 0.8104701  0.04490049]",0.2612262286228472,16549.64,"[0.12379136 0.06432301 0.06126717 0.05915781 0.91122695 0.07466607
 0.5709195  0.05558936]"
