"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation,and_score,or_score
15304.0,76622.0,45425.0,33234.0,10,10,10,7,2,4,1,1,4,3,2,4,1,1,1,1,1,1,1,0.4337396570175668,2.171589127025614
3686.9,20204.0,45590.0,959.53,3,4,4,1,1,1,2,1,4,3,2,4,1,1,1,1,1,1,1,0.021046940118447027,0.2602538718164311
959.53,66720.0,198000.0,146000.0,1,1,2,3,3,3,2,1,4,3,2,4,1,1,1,1,1,1,1,0.7373737373737373,69.53404270840933
17723.0,103000.0,80531.0,197000.0,2,2,2,2,3,1,3,1,1,4,2,4,1,1,1,1,1,1,1,1.912621359223301,4.543869548044913
62293.0,198000.0,90201.0,68243.0,8,4,8,1,3,4,3,1,1,4,2,4,1,1,1,1,1,1,1,0.34466161616161617,1.0955163501517025
638.29,772.76,401.94,971.12,2,2,2,2,1,1,1,1,3,2,3,4,1,1,1,1,1,1,1,1.256690304881205,0.6297137664697865
378.63,417.79,959.53,2628.7,1,1,1,1,1,2,1,1,3,2,3,4,1,1,1,1,1,1,1,2.739570414682188,1.1034255077516308
1249.3,120000.0,2101.5,57583.0,21,20,24,21,3,2,1,1,3,2,3,4,1,1,1,1,1,1,1,0.47985833333333333,1.682141999519731
2907.1,136000.0,2509.0,2148.2,3,3,3,10,2,4,1,1,3,2,3,4,1,1,1,1,1,1,1,0.015795588235294117,0.7389494685425337
1295.5,127000.0,1886.2,92454.0,12,11,11,11,3,4,1,1,3,2,3,4,1,1,1,1,1,1,1,0.7279842519685039,1.4559629486684678
884.62,1798.1,1035.4,2798.0,12,6,4,9,1,2,2,1,3,2,3,4,1,1,1,1,1,1,1,1.556086980701852,1.1704460672379102
485.95,9495.1,1016.3,11585.0,37,35,41,39,3,2,2,1,3,2,3,4,1,1,1,1,1,1,1,1.2201030004949922,2.0913674246321636
326.56,8621.6,1025.3,14552.0,23,41,27,35,3,3,2,1,3,2,3,4,1,1,1,1,1,1,1,1.6878537626426648,3.139698677119059
441.94,9413.7,704.06,8224.3,2,2,2,2,3,2,3,1,3,2,3,4,1,1,1,1,1,1,1,0.8736522302601526,1.5931121871747296
959.53,4233.4,1031.2,2742.6,1,1,1,1,3,2,2,1,1,3,4,4,1,1,1,1,1,1,1,0.6478480653847971,1.0746928183589883
668.88,50997.0,619.32,21942.0,2,2,2,2,2,1,2,1,1,1,2,5,1,1,1,1,1,1,1,0.4302606035649156,0.9259059921062075
413.46,709.62,1113.3,1987.2,2,2,2,2,2,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1.7849636216653195,1.7162966187781166
1487.4,1474.8,34272.0,180000.0,1,1,1,1,3,4,3,1,2,2,1,2,1,2,1,1,1,1,1,5.2521008403361344,0.9915288422751108
417.95,558.9,966.53,2413.1,3,3,3,3,3,2,4,1,1,2,1,3,1,2,1,1,1,1,1,2.4966633213661242,1.337241296805838
18416.0,21361.0,3281.2,133000.0,1,1,1,1,2,4,1,1,4,1,2,3,1,2,1,1,1,1,1,6.22630026684144,0.1781711555169418
6166.2,31690.0,198000.0,192000.0,6,6,4,4,2,2,1,1,6,1,1,1,1,3,1,1,1,1,1,0.9696969696969697,5.139307839512179
830.39,11043.0,2433.2,11079.0,9,9,9,9,3,2,1,1,6,1,1,1,1,3,1,1,1,1,1,1.0032599837000815,2.930189429063452
1168.4,1239.4,3777.9,68243.0,5,4,4,4,3,3,1,1,6,1,1,1,1,3,1,1,1,1,1,18.06373911432277,1.060766860664156
8092.0,68243.0,198000.0,192000.0,1,1,1,1,2,4,1,1,6,1,1,1,1,3,1,1,1,1,1,0.9696969696969697,8.433391003460208
1730.9,2237.2,1289.0,2152.1,16,16,19,10,3,4,1,1,6,1,1,1,1,3,1,1,1,1,1,0.9619613802967996,0.744699289387024
352.02,946.66,549.01,649.2,8,11,9,9,1,1,2,1,6,1,1,1,1,3,1,1,1,1,1,0.6857794773202629,1.5595988864269077
849.04,343.6,632.45,606.42,16,11,14,14,1,2,2,1,6,1,1,1,1,3,1,1,1,1,1,0.7142419673984736,0.40469235842834267
299.58,534.43,465.22,2564.8,11,10,17,20,3,3,2,1,6,1,1,1,1,3,1,1,1,1,1,4.799131785266546,1.5529074036985113
1093.1,801.33,776.08,885.52,1,1,1,1,2,4,1,1,3,2,4,1,1,3,1,1,1,1,1,0.8100997164028909,0.7099807885829293
1414.0,8092.0,900.9,113.78,7,2,4,4,3,2,2,1,3,2,4,1,1,3,1,1,1,1,1,0.014060800790904597,0.08046676096181046
593.17,3165.3,864.74,7610.6,5,6,12,7,3,3,2,1,3,2,4,1,1,3,1,1,1,1,1,2.4043850503901685,1.4578282785710674
385.0,586.48,405.11,1854.5,2,2,5,5,3,3,2,1,6,1,1,2,1,3,1,1,1,1,1,3.1620856636202426,1.0522337662337662
13943.0,4885.9,3882.1,8235.3,2,2,3,3,2,1,1,1,6,4,1,2,1,3,1,1,1,1,1,0.5906404647493365,0.2784264505486624
10790.0,6061.1,11185.0,147000.0,2,2,2,2,2,2,1,1,6,4,1,2,1,3,1,1,1,1,1,13.14260169870362,0.5617330861909176
2854.9,3837.8,3572.8,8709.6,1,2,1,2,3,2,1,1,6,4,1,2,1,3,1,1,1,1,1,2.269425191515973,1.2514623979824162
10790.0,6061.1,11185.0,147000.0,1,1,1,1,2,4,1,1,6,4,1,2,1,3,1,1,1,1,1,13.14260169870362,0.5617330861909176
848.67,1037.8,1710.8,7444.4,3,6,3,4,1,1,2,1,6,4,1,2,1,3,1,1,1,1,1,4.351414542903904,1.222854584231798
831.97,365.65,2786.5,115000.0,3,3,2,9,3,3,2,1,6,4,1,2,1,3,1,1,1,1,1,41.270410909743404,0.43949902039737004
1093.1,801.33,776.08,885.52,1,1,1,1,2,4,1,1,3,2,4,2,1,3,1,1,1,1,1,0.8100997164028909,0.7099807885829293
340.08,6817.5,867.78,7691.3,1,1,2,1,3,3,2,1,3,2,4,2,1,3,1,1,1,1,1,1.128170150348368,2.551693719124912
469.44,229.36,437.3,728.56,1,1,1,1,3,2,2,1,3,4,4,2,1,3,1,1,1,1,1,1.551976823449216,0.48858214042263126
1590.5,1023.6,2184.8,5515.9,8,8,8,8,3,4,1,1,6,4,1,3,1,3,1,1,1,1,1,2.524670450384474,0.6435712040238919
605.24,774.3,6262.9,820.05,1,1,1,1,1,2,2,1,6,4,1,3,1,3,1,1,1,1,1,0.13093774449536158,1.2793272090410415
959.53,1665.9,330.41,8092.0,5,5,5,5,3,3,2,1,6,4,1,3,1,3,1,1,1,1,1,4.857434419833123,0.3443456692338958
959.53,1665.9,330.41,8092.0,1,1,1,1,3,3,3,1,6,4,1,3,1,3,1,1,1,1,1,4.857434419833123,0.3443456692338958
335.1,65890.0,67553.0,504.12,1,4,4,1,2,4,1,1,1,3,4,4,1,3,1,1,1,1,1,0.007462584933311622,1.5043867502238137
957.19,1680.0,474.74,4836.4,3,5,6,10,3,3,2,1,1,3,4,4,1,3,1,1,1,1,1,2.8788095238095237,0.4959725864248477
429.95,403.36,410.2,602.26,2,2,2,2,1,2,2,1,3,4,4,4,1,3,1,1,1,1,1,1.4007675311082683,0.9381555994883126
886.67,229.36,437.3,728.56,5,3,3,3,3,2,2,1,3,4,4,4,1,3,1,1,1,1,1,0.8216811214995432,0.25867571926421334
9948.1,50947.0,9275.8,66368.0,9,10,9,10,1,2,1,1,2,1,1,2,1,4,1,1,1,1,1,1.3026871062084127,0.9324192559383198
11370.0,66040.0,27203.0,72156.0,3,2,3,3,1,4,1,1,2,1,1,2,1,4,1,1,1,1,1,1.092610539067232,2.392524186455585
967.27,998.51,964.68,2767.7,10,10,8,6,1,1,2,1,2,1,1,2,1,4,1,1,1,1,1,2.7718300267398424,0.9973223608713182
8599.6,37858.0,81242.0,108000.0,5,6,5,6,2,1,1,1,3,3,1,2,1,4,1,1,1,1,1,1.3293616602250067,4.402297781292153
7373.5,10763.0,54701.0,96175.0,40,30,38,31,3,1,1,1,3,3,1,2,1,4,1,1,1,1,1,1.7581945485457304,1.4596867159422255
4824.5,9137.3,6903.5,23099.0,17,20,21,23,1,2,1,1,3,3,1,2,1,4,1,1,1,1,1,2.5279896687205192,1.4309254845061665
3323.1,64334.0,18116.0,48579.0,61,62,62,66,2,4,1,1,3,3,1,2,1,4,1,1,1,1,1,0.7551061647029564,5.451536216183684
809.65,1014.2,804.08,1114.8,32,27,23,24,1,1,2,1,3,3,1,2,1,4,1,1,1,1,1,1.0991914809702228,0.9931204841598222
813.49,739.58,7290.6,5346.8,15,17,19,16,3,1,2,1,3,3,1,2,1,4,1,1,1,1,1,0.7333827119852961,0.9091445500252001
833.02,2588.7,801.52,4748.3,17,20,19,18,3,2,2,1,3,3,1,2,1,4,1,1,1,1,1,1.8342411248889405,0.9621857818539771
734.41,1517.9,1277.6,6081.4,19,21,22,18,3,3,2,1,3,3,1,2,1,4,1,1,1,1,1,4.006456288293036,1.7396277283806048
644.54,3043.4,1351.6,7157.8,3,1,3,3,2,4,2,1,3,3,1,2,1,4,1,1,1,1,1,2.3519090490898336,2.0969994104322462
756.39,1224.1,640.64,1133.8,1,1,1,1,1,1,3,1,3,3,1,2,1,4,1,1,1,1,1,0.9262315170329222,0.8469704781924668
8133.4,8091.4,89822.0,17509.0,6,8,6,9,2,1,1,1,3,2,2,2,1,4,1,1,1,1,1,0.19492997261250028,0.9948361079007549
2691.7,14415.0,59173.0,70437.0,24,23,25,28,3,1,1,1,3,2,2,2,1,4,1,1,1,1,1,1.1903570885370016,5.355351636512242
688.09,520.65,2792.7,879.04,9,9,6,8,1,2,1,1,3,2,2,2,1,4,1,1,1,1,1,0.31476349052887886,0.756659739278292
8675.2,8161.8,76899.0,126000.0,1,1,1,1,2,3,1,1,3,2,2,2,1,4,1,1,1,1,1,1.6385128545234657,0.9408198081888601
1089.4,1267.4,12879.0,47790.0,2,6,2,4,3,3,1,1,3,2,2,2,1,4,1,1,1,1,1,3.710691823899371,1.1633926932256289
3141.4,6499.9,24926.0,25629.0,33,38,33,36,2,4,1,1,3,2,2,2,1,4,1,1,1,1,1,1.0282034823076305,2.0691093143184567
632.2,548.97,1034.8,1034.6,14,23,24,19,1,1,2,1,3,2,2,2,1,4,1,1,1,1,1,0.9998067259373792,0.868348623853211
1383.4,1007.7,6786.1,5341.7,21,22,24,29,3,1,2,1,3,2,2,2,1,4,1,1,1,1,1,0.7871531512945579,0.7284227266155848
731.16,939.2,6608.4,794.32,6,6,6,8,3,2,2,1,3,2,2,2,1,4,1,1,1,1,1,0.12019853519762727,1.086383281361125
957.97,918.9,2466.5,5129.1,18,18,13,12,3,3,2,1,3,2,2,2,1,4,1,1,1,1,1,2.0795053719845935,0.9592158418322076
1394.4,1310.7,3390.6,4625.6,1,1,1,1,3,1,4,1,3,2,2,2,1,4,1,1,1,1,1,1.3642423169940425,0.939974182444062
677.94,957.19,615.98,892.43,6,9,7,10,1,1,2,1,3,3,2,2,1,4,1,1,1,1,1,0.9323436308360931,0.9086054813110305
507.32,736.76,695.53,1206.0,1,1,1,1,1,3,2,1,3,3,2,2,1,4,1,1,1,1,1,1.6368966827732234,1.3709887250650477
198000.0,48891.0,106000.0,195000.0,1,1,1,1,3,1,1,1,1,3,1,3,1,4,1,1,1,1,1,0.9848484848484849,0.24692424242424243
824.47,897.45,8092.0,6478.1,2,2,2,2,3,1,2,1,1,3,1,3,1,4,1,1,1,1,1,0.8005561047948592,1.088517471830388
980.32,8621.1,27295.0,6513.2,1,4,3,1,3,1,1,1,3,2,2,3,1,4,1,1,1,1,1,0.23862245832570067,6.6439529949404275
8092.0,8877.5,12832.0,15552.0,2,2,4,4,1,2,1,1,3,2,2,3,1,4,1,1,1,1,1,1.2119700748129676,1.097071181413742
4597.9,13106.0,10783.0,38173.0,2,4,3,3,2,4,1,1,3,2,2,3,1,4,1,1,1,1,1,2.9126354341522966,2.3452010700537205
586.48,890.17,959.53,2565.7,1,1,1,1,1,1,1,1,2,1,1,4,1,4,1,1,1,1,1,2.6739132700384562,1.5178181694175419
7703.3,30451.0,90765.0,175000.0,16,19,18,18,2,1,1,1,2,1,1,4,1,4,1,1,1,1,1,1.928055968710406,3.952981189879662
10925.0,49764.0,147000.0,190000.0,13,13,13,13,3,1,1,1,2,1,1,4,1,4,1,1,1,1,1,1.2925170068027212,4.5550572082379865
8189.4,65734.0,17630.0,44652.0,7,6,7,4,1,2,1,1,2,1,1,4,1,4,1,1,1,1,1,0.6792831715702681,2.152782865655604
4020.0,114000.0,87925.0,119000.0,9,9,9,9,3,3,1,1,2,1,1,4,1,4,1,1,1,1,1,1.043859649122807,21.871890547263682
11893.0,156000.0,73444.0,181000.0,49,45,41,49,2,4,1,1,2,1,1,4,1,4,1,1,1,1,1,1.1602564102564104,6.175397292525015
3940.0,165000.0,126000.0,161000.0,1,1,1,1,3,4,1,1,2,1,1,4,1,4,1,1,1,1,1,0.9757575757575757,31.97969543147208
584.34,921.99,897.29,2670.7,4,7,7,6,1,1,2,1,2,1,1,4,1,4,1,1,1,1,1,2.8966691612707294,1.5355614881746926
317.17,1337.8,8558.8,24024.0,28,22,28,10,3,1,2,1,2,1,1,4,1,4,1,1,1,1,1,2.8069355517128574,4.2179272945108295
447.11,6509.2,1354.7,13038.0,16,12,17,14,3,2,2,1,2,1,1,4,1,4,1,1,1,1,1,2.003011122718614,3.029903155822952
501.66,2175.2,2605.9,18848.0,9,9,9,8,3,3,2,1,2,1,1,4,1,4,1,1,1,1,1,7.23281783644806,4.336004465175616
756.39,1224.1,640.64,1133.8,1,1,1,1,1,1,2,1,3,3,1,4,1,4,1,1,1,1,1,0.9262315170329222,0.8469704781924668
317.25,535.66,2350.5,2068.4,1,1,1,1,3,3,2,1,3,2,2,4,1,4,1,1,1,1,1,0.8799829823441822,1.6884475965327028
7256.9,13999.0,74154.0,171000.0,3,2,2,2,2,1,1,1,3,3,2,4,1,4,1,1,1,1,1,2.3060118132534995,1.9290606181702932
5241.8,22889.0,72562.0,67886.0,8,8,10,8,3,1,1,1,3,3,2,4,1,4,1,1,1,1,1,0.9355585568203743,4.366629783662101
4329.3,15133.0,4997.8,10151.0,3,3,2,3,1,2,1,1,3,3,2,4,1,4,1,1,1,1,1,0.6707857001255534,1.1544129535952694
1631.8,58234.0,23499.0,68243.0,2,2,2,1,2,3,1,1,3,3,2,4,1,4,1,1,1,1,1,1.1718755366280866,14.400661845814438
2779.4,24323.0,24974.0,176000.0,38,51,55,47,2,4,1,1,3,3,2,4,1,4,1,1,1,1,1,7.047329222391287,8.751169317118803
696.17,901.75,540.47,879.96,9,10,12,13,1,1,2,1,3,3,2,4,1,4,1,1,1,1,1,0.9758358746881065,0.7763477311576197
948.2,893.64,5505.2,6140.5,7,7,5,8,3,1,2,1,3,3,2,4,1,4,1,1,1,1,1,1.1153999854682846,0.9424593967517401
617.76,7132.0,701.89,8414.4,9,10,9,10,3,2,2,1,3,3,2,4,1,4,1,1,1,1,1,1.1798093101514302,1.1361855736855737
614.72,6014.8,5921.3,49025.0,5,5,4,2,3,3,2,1,3,3,2,4,1,4,1,1,1,1,1,8.150728203764048,9.632515616866215
352.83,494.89,5247.9,5034.6,1,1,1,1,3,1,3,1,3,3,2,4,1,4,1,1,1,1,1,0.9593551706396846,1.402630161834311
2403.7,24444.0,99336.0,198000.0,1,1,1,1,2,4,1,1,5,3,2,4,1,4,1,1,1,1,1,1.9932350809374244,10.169322294795524
33536.0,161000.0,14506.0,110000.0,1,1,1,1,2,4,1,1,1,2,2,5,1,4,1,1,1,1,1,0.6832298136645962,0.43255009541984735
