"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation 
337.97,534.46,848.93,1071.1,14,15,15,21,2,4,4,1,2,3,1,2,1,1,2,2,4,1,3
0,0,0,68243,0,0,0,1,3,4,4,1,2,3,1,2,1,1,2,2,4,1,3
1056.6,61475,67617,67021,6,4,7,6,3,1,1,1,1,5,1,2,1,1,2,2,4,1,3
965.7,16557,3237.2,11740,4,4,4,7,1,2,1,1,1,5,1,2,1,1,2,2,4,1,3
1820.6,5579.9,4831.1,576.94,2,2,2,1,2,3,1,1,1,5,1,2,1,1,2,2,4,1,3
462.05,987.45,461.24,825.3,1,1,1,1,3,3,1,1,1,5,1,2,1,1,2,2,4,1,3
569.54,959.53,330.41,330.41,1,1,1,1,2,1,2,1,1,5,1,2,1,1,2,2,4,1,3
330.41,0,8092,0,1,0,1,0,3,1,2,1,1,5,1,2,1,1,2,2,4,1,3
973.61,7757.6,2504.5,11371,22,16,17,19,3,3,2,1,1,5,1,2,1,1,2,2,4,1,3
959.53,8092,0,0,1,1,0,0,3,3,3,1,1,5,1,2,1,1,2,2,4,1,3
2668.6,1.31E+05,82265,1.73E+05,1,1,2,1,3,1,1,1,2,5,1,2,1,1,2,2,4,1,3
3064.3,43364,7837.7,37970,9,6,10,5,1,2,1,1,2,5,1,2,1,1,2,2,4,1,3
6170.3,90904,61506,44233,11,11,11,9,2,3,1,1,2,5,1,2,1,1,2,2,4,1,3
23499,68243,21232,52664,1,1,1,1,1,4,1,1,2,5,1,2,1,1,2,2,4,1,3
959.53,0,0,0,1,0,0,0,3,1,2,1,2,5,1,2,1,1,2,2,4,1,3
749.87,3461,3499.9,1474.2,13,8,15,5,3,3,2,1,2,5,1,2,1,1,2,2,4,1,3
1420.2,2862.8,26609,96356,23,17,18,19,3,1,1,1,3,5,1,2,1,1,2,2,4,1,3
8056.2,2177.1,49042,24083,22,26,40,38,1,2,1,1,3,5,1,2,1,1,2,2,4,1,3
1281.6,2644,31163,22598,11,13,19,17,2,3,1,1,3,5,1,2,1,1,2,2,4,1,3
1199.2,2906,26668,95048,3,1,1,2,3,3,1,1,3,5,1,2,1,1,2,2,4,1,3
12031,25984,29971,50881,3,2,4,4,1,4,1,1,3,5,1,2,1,1,2,2,4,1,3
867.22,1103.2,3850.2,6036.3,19,21,21,24,2,1,2,1,3,5,1,2,1,1,2,2,4,1,3
0,23499,0,0,0,1,0,0,3,2,2,1,3,5,1,2,1,1,2,2,4,1,3
959.53,1112.1,3305.8,5908.1,2,1,1,1,2,3,2,1,3,5,1,2,1,1,2,2,4,1,3
188.71,434.03,3173.4,7769.8,43,27,58,40,3,3,2,1,3,5,1,2,1,1,2,2,4,1,3
1.95E+05,0,3480.4,8072.4,1,0,2,3,3,3,3,1,3,5,1,2,1,1,2,2,4,1,3
340.86,8297,4023.4,15463,1,1,1,1,3,3,2,2,3,5,1,2,1,1,2,2,4,1,3
1639.5,14586,72081,67168,11,9,8,14,2,1,1,1,4,1,2,2,1,1,2,2,4,1,3
5496.9,69898,57592,69899,21,9,20,20,3,1,1,1,4,1,2,2,1,1,2,2,4,1,3
2990.2,8635.1,56733,1.71E+05,14,12,10,10,1,2,1,1,4,1,2,2,1,1,2,2,4,1,3
0,0,0,2786.5,0,0,0,1,2,3,1,1,4,1,2,2,1,1,2,2,4,1,3
0,0,0,1.98E+05,0,0,0,1,3,3,1,1,4,1,2,2,1,1,2,2,4,1,3
2786.5,12336,0,0,2,3,0,0,1,4,1,1,4,1,2,2,1,1,2,2,4,1,3
2635.8,85389,85061,1.92E+05,56,48,53,45,2,4,1,1,4,1,2,2,1,1,2,2,4,1,3
585.99,1527,1101.7,2855.2,17,24,23,23,1,1,2,1,4,1,2,2,1,1,2,2,4,1,3
519.8,6456.6,20551,22664,7,7,10,12,3,1,2,1,4,1,2,2,1,1,2,2,4,1,3
332.76,8172.4,2519.8,22825,18,14,27,27,3,2,2,1,4,1,2,2,1,1,2,2,4,1,3
0,1.98E+05,0,0,0,1,0,0,2,3,2,1,4,1,2,2,1,1,2,2,4,1,3
1089,7030.7,8093.7,22667,9,11,17,19,3,3,2,1,4,1,2,2,1,1,2,2,4,1,3
549.47,676.66,14564,11928,1,1,1,1,3,1,3,1,4,1,2,2,1,1,2,2,4,1,3
570.2,330.41,959.53,0,1,1,1,0,3,1,2,1,1,2,2,2,1,1,2,2,4,1,3
0,0,68243,0,0,0,1,0,3,3,4,1,1,2,2,2,1,1,2,2,4,1,3
2276.3,8024.9,970.8,7568.8,10,10,7,13,2,4,4,1,1,2,2,2,1,1,2,2,4,1,3
8242.3,26943,49397,1.80E+05,5,5,6,6,2,1,1,1,4,3,2,2,1,1,2,2,4,1,3
42637,68286,1.31E+05,1.94E+05,6,6,13,3,3,1,1,1,4,3,2,2,1,1,2,2,4,1,3
380.73,444.72,472.26,510.9,1,1,1,1,1,2,1,1,4,3,2,2,1,1,2,2,4,1,3
21529,61405,68086,68003,5,3,6,7,2,4,1,1,4,3,2,2,1,1,2,2,4,1,3
668.98,1317.7,843.83,1325.5,10,8,8,8,1,1,2,1,4,3,2,2,1,1,2,2,4,1,3
647.96,770.54,2449.8,1561.5,17,16,17,16,3,1,2,1,4,3,2,2,1,1,2,2,4,1,3
1161.1,650.54,4628.1,9249.3,10,10,10,10,3,2,2,1,4,3,2,2,1,1,2,2,4,1,3
6361.7,4841.5,21533,1405.3,9,6,8,2,3,3,2,1,4,3,2,2,1,1,2,2,4,1,3
959.53,0,8092,0,1,0,1,0,3,4,2,1,4,3,2,2,1,1,2,2,4,1,3
2700.3,6658.4,59383,66047,33,34,25,25,2,1,1,1,4,2,1,3,1,1,2,2,4,1,3
3932.1,7778.5,98543,95569,21,16,13,18,3,1,1,1,4,2,1,3,1,1,2,2,4,1,3
3583.3,7595.3,9179.5,11239,19,20,22,19,1,2,1,1,4,2,1,3,1,1,2,2,4,1,3
1978,2804.4,8133.1,5996.8,1,1,1,1,1,3,1,1,4,2,1,3,1,1,2,2,4,1,3
2786.5,2786.5,68243,21193,3,1,1,5,3,3,1,1,4,2,1,3,1,1,2,2,4,1,3
2380.7,3884.7,6326.5,6759.6,2,2,2,2,1,4,1,1,4,2,1,3,1,1,2,2,4,1,3
2995.1,9754.9,17982,76324,43,55,55,47,2,4,1,1,4,2,1,3,1,1,2,2,4,1,3
567.93,610.07,943.4,973.28,38,30,29,36,1,1,2,1,4,2,1,3,1,1,2,2,4,1,3
431.63,840.89,8324.4,8912,35,39,43,37,3,1,2,1,4,2,1,3,1,1,2,2,4,1,3
957.19,2143.4,1128.5,21335,20,17,27,17,3,2,2,1,4,2,1,3,1,1,2,2,4,1,3
406.24,827.41,4594.9,7412.5,29,33,38,40,3,3,2,1,4,2,1,3,1,1,2,2,4,1,3
587.13,729.31,845.63,1003.1,1,1,1,1,1,1,3,1,4,2,1,3,1,1,2,2,4,1,3
468.91,921.38,1446.2,3687.7,2,2,2,2,3,3,3,1,4,2,1,3,1,1,2,2,4,1,3
336.74,497.51,464.96,528.08,2,2,2,2,3,1,4,1,1,1,2,3,1,1,2,2,4,1,3
985.59,959.53,1896.9,1410.6,9,2,5,7,2,2,4,1,1,1,2,3,1,1,2,2,4,1,3
330.41,330.41,959.53,0,4,4,4,0,3,2,4,1,1,1,2,3,1,1,2,2,4,1,3
623.31,967.75,2388.3,2747.5,9,3,13,9,3,3,4,1,1,1,2,3,1,1,2,2,4,1,3
343.07,578.91,2032.3,4828,29,29,29,31,2,4,4,1,1,1,2,3,1,1,2,2,4,1,3
1131.5,2586.7,68243,0,1,1,1,0,3,4,4,1,1,1,2,3,1,1,2,2,4,1,3
0,0,8092,0,0,0,1,0,3,1,2,1,1,2,2,3,1,1,2,2,4,1,3
2786.5,64608,50130,63565,2,2,2,2,2,1,1,1,4,2,1,4,1,1,2,2,4,1,3
959.53,72452,88818,77012,3,3,3,4,3,1,1,1,4,2,1,4,1,1,2,2,4,1,3
2102.6,8864.3,5623.3,20164,10,6,6,9,1,2,1,1,4,2,1,4,1,1,2,2,4,1,3
0,0,0,23499,0,0,0,1,2,3,1,1,4,2,1,4,1,1,2,2,4,1,3
1997.6,9747.4,5825.4,22595,4,4,4,3,1,4,1,1,4,2,1,4,1,1,2,2,4,1,3
7030,71164,67520,23442,13,11,13,17,2,4,1,1,4,2,1,4,1,1,2,2,4,1,3
445.11,1269,800.68,1618.6,6,6,6,6,1,1,2,1,4,2,1,4,1,1,2,2,4,1,3
959.53,0,7182.6,8092,4,0,4,4,3,1,2,1,4,2,1,4,1,1,2,2,4,1,3
467.66,589.86,631.83,490.6,5,5,5,5,3,2,2,1,4,2,1,4,1,1,2,2,4,1,3
27858,23499,26759,330.41,4,3,4,1,3,3,2,1,4,2,1,4,1,1,2,2,4,1,3
0,959.53,0,23499,0,1,0,1,2,2,4,1,2,3,1,4,1,1,2,2,4,1,3
0,959.53,0,2786.5,0,1,0,1,3,3,4,1,2,3,1,4,1,1,2,2,4,1,3
0,0,2786.5,0,0,0,1,0,2,4,4,1,2,3,1,4,1,1,2,2,4,1,3
1205.9,70084,64839,68272,38,39,46,43,3,1,1,1,1,5,1,4,1,1,2,2,4,1,3
1005.7,19016,2962.8,7213.4,8,7,7,8,1,2,1,1,1,5,1,4,1,1,2,2,4,1,3
409.17,836.97,337.33,576.94,3,4,3,3,2,3,1,1,1,5,1,4,1,1,2,2,4,1,3
1481.2,69844,65433,59415,2,1,3,1,3,3,1,1,1,5,1,4,1,1,2,2,4,1,3
0,0,0,348.78,0,0,0,1,1,4,1,1,1,5,1,4,1,1,2,2,4,1,3
344.57,1706.7,4107.6,4822.3,19,22,19,29,2,1,2,1,1,5,1,4,1,1,2,2,4,1,3
330.41,0,8092,0,9,0,9,0,3,1,2,1,1,5,1,4,1,1,2,2,4,1,3
983.99,7198.1,3269.7,12584,51,37,45,47,3,3,2,1,1,5,1,4,1,1,2,2,4,1,3
485.21,6755.7,1497.7,9947.9,2,1,2,2,3,3,4,1,1,5,1,4,1,1,2,2,4,1,3
372.74,3127.6,1382.9,274.01,2,1,2,1,2,1,1,1,2,5,1,4,1,1,2,2,4,1,3
3317.1,3075.9,92445,1.70E+05,19,30,34,29,3,1,1,1,2,5,1,4,1,1,2,2,4,1,3
5347.4,42419,13983,42361,26,21,25,13,1,2,1,1,2,5,1,4,1,1,2,2,4,1,3
7580.7,1.08E+05,49648,90148,13,13,13,11,2,3,1,1,2,5,1,4,1,1,2,2,4,1,3
2786.5,0,0,0,1,0,0,0,1,4,1,1,2,5,1,4,1,1,2,2,4,1,3
415.46,2878.6,5540.8,952.81,40,32,40,31,2,1,2,1,2,5,1,4,1,1,2,2,4,1,3
1659.7,7807.4,23289,12610,5,2,2,3,3,1,2,1,2,5,1,4,1,1,2,2,4,1,3
330.41,0,959.53,0,1,0,1,0,2,3,2,1,2,5,1,4,1,1,2,2,4,1,3
968.01,3496.6,2776.5,421.82,32,18,28,11,3,3,2,1,2,5,1,4,1,1,2,2,4,1,3
684.01,113.78,6349.4,474.92,1,1,1,1,3,4,2,1,2,5,1,4,1,1,2,2,4,1,3
959.53,0,1145.4,2786.5,1,0,1,1,3,3,3,1,2,5,1,4,1,1,2,2,4,1,3
0,0,10148,2786.5,0,0,1,1,2,3,1,1,3,5,1,4,1,1,2,2,4,1,3
959.53,0,497.39,625.67,1,0,1,1,3,3,2,1,3,5,1,4,1,1,2,2,4,1,3
959.53,23499,68243,88809,1,1,1,1,2,1,1,1,4,1,2,4,1,1,2,2,4,1,3
1644.9,17236,93453,53743,1,1,1,1,3,1,1,1,4,1,2,4,1,1,2,2,4,1,3
0,2786.5,0,0,0,1,0,0,1,1,2,1,4,1,2,4,1,1,2,2,4,1,3
330.41,0,2399.5,23246,1,0,1,1,3,2,2,1,4,1,2,4,1,1,2,2,4,1,3
2373.2,2955.8,4126.1,2978.7,7,7,5,9,2,2,4,1,1,2,2,4,1,1,2,2,4,1,3
736.8,36820,990.74,7741.9,1,3,4,5,3,2,4,1,1,2,2,4,1,1,2,2,4,1,3
1538.9,3046.5,1084.2,4821.1,10,16,16,16,2,3,4,1,1,2,2,4,1,1,2,2,4,1,3
792.46,2972.2,474.26,813.23,3,7,3,3,3,3,4,1,1,2,2,4,1,1,2,2,4,1,3
818.6,2356.6,993.29,6043,36,23,33,29,2,4,4,1,1,2,2,4,1,1,2,2,4,1,3
2786.5,8092,959.12,7909.8,1,1,1,1,3,4,4,1,1,2,2,4,1,1,2,2,4,1,3
0,0,1.98E+05,1.98E+05,0,0,7,7,3,1,2,1,2,1,1,5,1,1,2,2,4,1,3
857.34,959.53,450.21,1068.7,10,10,10,10,1,2,2,1,2,1,1,5,1,1,2,2,4,1,3
1486.6,2786.5,6438.3,84636,3,3,3,3,2,4,1,1,3,1,1,5,1,1,2,2,4,1,3
0,0,0,330.41,0,0,0,1,3,4,2,1,3,1,1,5,1,1,2,2,4,1,3
461.83,330.41,330.41,13886,1,1,1,2,2,4,1,1,2,2,1,5,1,1,2,2,4,1,3
2786.5,330.41,330.41,694.24,1,1,1,1,3,3,2,1,2,2,1,5,1,1,2,2,4,1,3
959.53,0,0,0,1,0,0,0,2,1,2,1,1,4,1,5,1,1,2,2,4,1,3
0,0,11045,0,0,0,3,0,3,3,2,1,1,4,1,5,1,1,2,2,4,1,3
0,1.98E+05,68243,23499,0,1,2,2,2,4,1,1,1,1,2,5,1,1,2,2,4,1,3
663.91,478.53,514.32,3188.1,7,13,10,17,1,1,1,1,3,1,1,1,1,2,3,1,3,3,3
557.42,929.15,801.58,1615.2,19,14,16,8,1,2,1,1,3,1,1,1,1,2,3,1,3,3,3
143.53,36924,1412.9,1000.5,4,12,13,8,2,2,1,1,3,1,1,1,1,2,3,1,3,3,3
0,0,68243,0,0,0,1,0,3,2,1,1,3,1,1,1,1,2,3,1,3,3,3
1521.5,1210.1,959.53,966.96,22,16,23,13,2,3,1,1,3,1,1,1,1,2,3,1,3,3,3
239.6,1357.6,866.76,1615.2,2,2,2,1,1,4,1,1,3,1,1,1,1,2,3,1,3,3,3
0,68243,1901.7,0,0,1,1,0,2,4,1,1,3,1,1,1,1,2,3,1,3,3,3
13447,362.88,1391,959.53,9,17,8,5,1,1,2,1,3,1,1,1,1,2,3,1,3,3,3
330.41,1.98E+05,706.93,0,3,2,3,0,2,1,2,1,3,1,1,1,1,2,3,1,3,3,3
450.41,1866.7,500.19,415.21,11,10,11,8,3,1,2,1,3,1,1,1,1,2,3,1,3,3,3
14974,374.06,1391,0,1,1,1,0,1,3,2,1,3,1,1,1,1,2,3,1,3,3,3
225.83,0,77862,428.43,1,0,1,1,3,1,3,1,3,1,1,1,1,2,3,1,3,3,3
5062.9,6591.9,16668,23589,1,1,2,2,3,1,1,1,4,3,1,1,1,2,2,2,4,1,3
0,1631.8,16993,79474,0,2,1,1,1,2,1,1,4,3,1,1,1,2,2,2,4,1,3
0,0,431.01,0,0,0,1,0,3,3,1,1,4,3,1,1,1,2,2,2,4,1,3
541.38,20561,95354,334.3,5,5,9,5,2,4,1,1,4,3,1,1,1,2,2,2,4,1,3
959.53,0,2096.3,0,1,0,1,0,1,1,2,1,4,3,1,1,1,2,2,2,4,1,3
2558.7,1.98E+05,21401,8937.8,10,1,6,5,3,1,2,1,4,3,1,1,1,2,2,2,4,1,3
14325,25672,1113.6,6473.7,2,1,1,1,3,2,2,1,4,3,1,1,1,2,2,2,4,1,3
3002.1,25672,1113.6,6473.7,1,1,1,1,3,4,2,1,4,3,1,1,1,2,2,2,4,1,3
0,1.32E+05,68243,1.98E+05,0,1,1,1,3,1,1,1,1,5,1,1,1,2,2,2,4,1,3
2082.5,23499,17913,68838,8,2,8,2,1,2,1,1,1,5,1,1,1,2,2,2,4,1,3
8092,0,0,1.98E+05,5,0,0,5,2,3,1,1,1,5,1,1,1,2,2,2,4,1,3
0,8092,0,0,0,1,0,0,1,4,1,1,1,5,1,1,1,2,2,2,4,1,3
113.78,1484.3,20537,23499,2,3,4,2,2,1,2,1,1,5,1,1,1,2,2,2,4,1,3
964.16,3973.6,17619,22972,16,10,11,13,3,3,2,1,1,5,1,1,1,2,2,2,4,1,3
579.21,8092,4686.7,21266,1,1,1,1,3,3,3,1,1,5,1,1,1,2,2,2,4,1,3
0,0,0,959.53,0,0,0,7,3,1,1,1,3,5,1,1,1,2,2,2,4,1,3
2437.6,959.53,988.53,5580.7,4,4,6,4,1,2,1,1,3,5,1,1,1,2,2,2,4,1,3
1808.2,1.98E+05,1.98E+05,1.95E+05,12,4,4,4,2,3,1,1,3,5,1,1,1,2,2,2,4,1,3
0,0,959.53,571.88,0,0,2,2,1,4,1,1,3,5,1,1,1,2,2,2,4,1,3
345.78,59487,223.98,68243,13,4,13,6,2,1,2,1,3,5,1,1,1,2,2,2,4,1,3
294.1,10495,20262,13591,1,7,9,5,3,3,2,1,3,5,1,1,1,2,2,2,4,1,3
959.53,959.53,0,1.98E+05,1,1,0,1,2,1,1,1,4,1,2,1,1,2,2,2,4,1,3
68243,850.03,62312,0,1,1,1,0,3,1,2,1,4,1,2,1,1,2,2,2,4,1,3
23499,0,1.98E+05,0,1,0,4,0,2,1,1,1,4,3,2,1,1,2,2,2,4,1,3
478.62,546.57,10103,1186.9,1,1,2,2,3,1,1,1,4,3,2,1,1,2,2,2,4,1,3
2783.9,68243,69232,1.95E+05,2,1,1,1,1,2,1,1,4,3,2,1,1,2,2,2,4,1,3
445.19,1.13E+05,44235,552.22,11,5,14,11,2,4,1,1,4,3,2,1,1,2,2,2,4,1,3
330.41,1313.8,1415.9,0,1,2,2,0,3,2,2,1,4,3,2,1,1,2,2,2,4,1,3
1546.9,959.53,14480,13384,2,2,2,2,3,3,2,1,4,3,2,1,1,2,2,2,4,1,3
0,0,959.53,330.41,0,0,1,1,1,2,1,1,2,4,2,1,1,2,2,2,4,1,3
519.59,14153,3076.6,8253.3,30,32,14,30,1,1,1,1,2,1,1,2,1,2,3,1,3,3,3
733.95,1210.6,9868.9,1576.8,2,7,2,7,1,2,1,1,2,1,1,2,1,2,3,1,3,3,3
2786.5,46930,959.53,47940,3,4,3,3,3,2,1,1,2,1,1,2,1,2,3,1,3,3,3
42637,67552,1.94E+05,68243,6,5,5,5,2,3,1,1,2,1,1,2,1,2,3,1,3,3,3
1105.6,1471.8,867.72,1136.1,13,11,11,11,1,1,2,1,2,1,1,2,1,2,3,1,3,3,3
594.76,1406.4,947.28,1577.7,4,4,4,4,2,1,2,1,2,1,1,2,1,2,3,1,3,3,3
959.53,959.53,0,0,1,4,0,0,3,1,2,1,2,1,1,2,1,2,3,1,3,3,3
661.2,461.14,1015.9,2542.2,20,14,15,16,1,1,1,1,3,1,1,2,1,2,3,1,3,3,3
1777.8,543.3,1104.6,560.49,8,4,6,6,1,2,1,1,3,1,1,2,1,2,3,1,3,3,3
5083.8,31372,1.40E+05,1.98E+05,5,4,6,3,2,2,1,1,3,1,1,2,1,2,3,1,3,3,3
709.82,1204.7,4719.5,797.07,14,5,9,18,3,2,1,1,3,1,1,2,1,2,3,1,3,3,3
431.23,113.78,959.53,48534,7,1,1,14,2,3,1,1,3,1,1,2,1,2,3,1,3,3,3
330.41,0,959.53,0,1,0,1,0,2,4,1,1,3,1,1,2,1,2,3,1,3,3,3
590.44,1204.7,3780.2,653.39,3,2,3,4,3,4,1,1,3,1,1,2,1,2,3,1,3,3,3
861.76,532.94,411.69,515.14,14,22,21,12,1,1,2,1,3,1,1,2,1,2,3,1,3,3,3
332.2,1662.2,535.26,347.94,14,11,7,9,2,1,2,1,3,1,1,2,1,2,3,1,3,3,3
800.17,388.89,667.9,579.96,25,21,25,16,3,1,2,1,3,1,1,2,1,2,3,1,3,3,3
0,481.98,470.07,515.69,0,1,1,1,1,3,2,1,3,1,1,2,1,2,3,1,3,3,3
21893,32135,1.38E+05,23499,1,1,1,1,1,2,1,1,4,1,1,2,1,2,2,2,4,1,3
0,0,22240,0,0,0,1,0,2,4,1,1,4,1,1,2,1,2,2,2,4,1,3
0,0,16395,0,0,0,6,0,3,3,2,1,4,1,1,2,1,2,2,2,4,1,3
330.41,435.14,453.54,1.98E+05,1,1,1,1,3,1,1,1,1,5,1,2,1,2,2,2,4,1,3
2331.1,0,31224,68243,2,0,2,1,1,2,1,1,1,5,1,2,1,2,2,2,4,1,3
4254.3,80435,1.01E+05,1.81E+05,1,1,1,1,2,2,1,1,1,5,1,2,1,2,2,2,4,1,3
0,0,1.88E+05,113.78,0,0,1,1,2,3,1,1,1,5,1,2,1,2,2,2,4,1,3
540.29,11415,8123.6,22160,2,2,2,2,3,3,2,1,1,5,1,2,1,2,2,2,4,1,3
68809,1.98E+05,1.81E+05,0,1,1,1,0,3,1,1,1,2,5,1,2,1,2,2,2,4,1,3
7719.3,30350,113.78,1.02E+05,3,2,1,2,1,2,1,1,2,5,1,2,1,2,2,2,4,1,3
20122,9451.7,1.98E+05,0,1,1,1,0,1,4,1,1,2,5,1,2,1,2,2,2,4,1,3
1012.6,484.47,3431,8698.4,3,3,4,3,3,3,2,1,2,5,1,2,1,2,2,2,4,1,3
959.53,0,1.98E+05,1.98E+05,3,0,3,3,3,1,1,1,3,5,1,2,1,2,2,2,4,1,3
23499,5168,61613,15256,1,6,1,5,1,2,1,1,3,5,1,2,1,2,2,2,4,1,3
0,2786.5,0,11572,0,1,0,1,1,4,1,1,3,5,1,2,1,2,2,2,4,1,3
799.97,877.9,5195.5,7079.7,16,12,13,13,2,1,2,1,3,5,1,2,1,2,2,2,4,1,3
959.53,494.1,0,493.43,1,2,0,3,3,3,2,1,3,5,1,2,1,2,2,2,4,1,3
1114.8,1336.2,1240.1,1020.9,9,9,9,9,1,1,1,1,1,1,2,2,1,2,3,1,3,3,3
0,0,2786.5,2812.8,0,0,2,2,1,2,1,1,1,1,2,2,1,2,3,1,3,3,3
1180.4,0,959.53,959.53,5,0,5,5,2,3,1,1,1,1,2,2,1,2,3,1,3,3,3
451,593.88,569.89,447.79,3,3,1,5,1,1,2,1,1,1,2,2,1,2,3,1,3,3,3
113.78,0,113.78,330.41,3,0,3,3,2,1,2,1,1,1,2,2,1,2,3,1,3,3,3
375.96,641.95,569.89,1720.1,1,1,1,2,1,1,3,1,1,1,2,2,1,2,3,1,3,3,3
959.53,959.53,1.98E+05,10541,1,2,3,2,2,1,1,1,4,1,2,2,1,2,2,2,4,1,3
1167.4,3126.1,87555,4356.3,6,11,8,3,3,1,1,1,4,1,2,2,1,2,2,2,4,1,3
460.99,926.16,462.41,600.24,6,6,7,7,1,2,1,1,4,1,2,2,1,2,2,2,4,1,3
6233.6,2977.1,1.67E+05,41872,2,7,11,7,2,4,1,1,4,1,2,2,1,2,2,2,4,1,3
8121.1,404.04,46633,42026,2,4,11,7,3,1,2,1,4,1,2,2,1,2,2,2,4,1,3
497.02,982.1,1781.8,838.06,7,10,10,7,3,2,2,1,4,1,2,2,1,2,2,2,4,1,3
1398.8,3465.7,1016.1,2828,1,1,1,1,1,1,1,1,4,3,2,2,1,2,2,2,4,1,3
0,0,1.98E+05,0,0,0,1,0,2,1,1,1,4,3,2,2,1,2,2,2,4,1,3
1773.3,35897,38559,1.82E+05,2,2,2,2,3,1,1,1,4,3,2,2,1,2,2,2,4,1,3
959.53,511.81,43439,0,1,1,3,0,1,2,1,1,4,3,2,2,1,2,2,2,4,1,3
10884,0,12785,330.41,2,0,2,1,2,4,1,1,4,3,2,2,1,2,2,2,4,1,3
1026.1,1661.7,784.89,1112,3,3,3,4,1,1,2,1,4,3,2,2,1,2,2,2,4,1,3
23499,0,23626,23499,1,0,1,1,3,1,2,1,4,3,2,2,1,2,2,2,4,1,3
5022,9201,9782.2,0,6,13,2,0,3,2,2,1,4,3,2,2,1,2,2,2,4,1,3
0,23499,16261,0,0,2,2,0,3,3,2,1,4,3,2,2,1,2,2,2,4,1,3
412.94,437.96,401.35,489.46,1,1,1,1,3,4,2,1,4,3,2,2,1,2,2,2,4,1,3
2481.5,1277.1,1537,26307,24,21,22,22,1,1,1,1,1,4,2,2,1,2,3,1,3,3,3
1880.1,74055,426.77,54296,1,1,1,1,3,1,1,1,1,4,2,2,1,2,3,1,3,3,3
17466,67784,10226,1.35E+05,7,5,7,7,1,2,1,1,1,4,2,2,1,2,3,1,3,3,3
64847,89567,3140.1,1.70E+05,11,12,11,11,2,2,1,1,1,4,2,2,1,2,3,1,3,3,3
1123.2,1454.7,1362,2210.1,9,9,9,9,3,2,1,1,1,4,2,2,1,2,3,1,3,3,3
2367.2,6779.2,1317.9,5445.6,2,2,2,2,1,3,1,1,1,4,2,2,1,2,3,1,3,3,3
366.53,698.06,405.27,372.54,3,4,5,5,2,3,1,1,1,4,2,2,1,2,3,1,3,3,3
23499,67426,12515,67532,2,2,2,2,1,4,1,1,1,4,2,2,1,2,3,1,3,3,3
24313,957.19,13857,45486,3,5,3,3,2,4,1,1,1,4,2,2,1,2,3,1,3,3,3
674.77,854.68,672.35,1356.9,5,5,5,5,3,4,1,1,1,4,2,2,1,2,3,1,3,3,3
2162.8,1635.1,2782.7,63826,6,6,6,8,1,1,2,1,1,4,2,2,1,2,3,1,3,3,3
959.53,3075.6,1226.6,10923,4,4,4,5,2,1,2,1,1,4,2,2,1,2,3,1,3,3,3
18796,0,2782.2,0,5,0,2,0,3,1,2,1,1,4,2,2,1,2,3,1,3,3,3
0,482.47,1.98E+05,0,0,1,1,0,1,1,1,1,3,4,2,2,1,2,3,1,3,3,3
0,23499,8092,0,0,4,4,0,1,2,1,1,3,4,2,2,1,2,3,1,3,3,3
959.53,0,0,0,2,0,0,0,2,2,1,1,3,4,2,2,1,2,3,1,3,3,3
959.53,959.53,0,0,3,3,0,0,3,2,1,1,3,4,2,2,1,2,3,1,3,3,3
330.41,398,1683.4,8092,1,4,1,1,2,3,1,1,3,4,2,2,1,2,3,1,3,3,3
959.53,0,0,0,1,0,0,0,3,4,1,1,3,4,2,2,1,2,3,1,3,3,3
10287,15373,208.09,2179.6,5,5,3,7,1,1,2,1,3,4,2,2,1,2,3,1,3,3,3
0,1.89E+05,0,0,0,1,0,0,3,1,2,1,3,4,2,2,1,2,3,1,3,3,3
959.53,0,0,0,1,0,0,0,2,3,2,1,3,4,2,2,1,2,3,1,3,3,3
2786.5,0,68243,0,1,0,1,0,2,1,2,1,5,4,2,2,1,2,3,1,3,3,3
2435.2,342.97,6876.5,641.89,3,6,6,3,2,1,1,1,4,2,1,3,1,2,2,2,4,1,3
11211,66296,1.63E+05,1.76E+05,17,14,17,15,3,1,1,1,4,2,1,3,1,2,2,2,4,1,3
16707,23442,20122,92616,12,14,13,12,1,2,1,1,4,2,1,3,1,2,2,2,4,1,3
0,0,1.65E+05,1.96E+05,0,0,1,1,3,3,1,1,4,2,1,3,1,2,2,2,4,1,3
13963,21897,23653,73295,2,2,2,2,1,4,1,1,4,2,1,3,1,2,2,2,4,1,3
22809,63612,1.29E+05,1.85E+05,31,30,29,26,2,4,1,1,4,2,1,3,1,2,2,2,4,1,3
959.53,960.8,2618.1,241.3,4,8,4,4,1,1,2,1,4,2,1,3,1,2,2,2,4,1,3
816.01,1275.9,22760,19524,22,12,19,18,3,1,2,1,4,2,1,3,1,2,2,2,4,1,3
445.75,1462.3,4667.6,22467,5,3,6,8,3,2,2,1,4,2,1,3,1,2,2,2,4,1,3
