"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation
5756.9,10463,7922.6,3755.1,4,3,4,3,1,2,3,1,2,2,2,4,1,1,1,1,1,1,1
0,0,23499,0,0,0,1,0,2,1,1,1,4,3,2,4,1,1,1,1,1,1,1
14992,1.89E+05,1.04E+05,1.89E+05,1,1,1,1,3,1,1,1,4,3,2,4,1,1,1,1,1,1,1
9497.4,46690,9396.6,0,1,4,2,0,1,2,1,1,4,3,2,4,1,1,1,1,1,1,1
15304,76622,45425,33234,10,10,10,7,2,4,1,1,4,3,2,4,1,1,1,1,1,1,1
3686.9,20204,45590,959.53,3,4,4,1,1,1,2,1,4,3,2,4,1,1,1,1,1,1,1
68243,0,1.98E+05,23499,3,0,3,3,3,1,2,1,4,3,2,4,1,1,1,1,1,1,1
0,0,0,330.41,0,0,0,1,3,2,2,1,4,3,2,4,1,1,1,1,1,1,1
959.53,66720,1.98E+05,1.46E+05,1,1,2,3,3,3,2,1,4,3,2,4,1,1,1,1,1,1,1
23499,1.98E+05,9343.1,0,1,1,3,0,2,1,3,1,1,4,2,4,1,1,1,1,1,1,1
17723,1.03E+05,80531,1.97E+05,2,2,2,2,3,1,3,1,1,4,2,4,1,1,1,1,1,1,1
62293,1.98E+05,90201,68243,8,4,8,1,3,4,3,1,1,4,2,4,1,1,1,1,1,1,1
638.29,772.76,401.94,971.12,2,2,2,2,1,1,1,1,3,2,3,4,1,1,1,1,1,1,1
378.63,417.79,959.53,2628.7,1,1,1,1,1,2,1,1,3,2,3,4,1,1,1,1,1,1,1
1249.3,1.20E+05,2101.5,57583,21,20,24,21,3,2,1,1,3,2,3,4,1,1,1,1,1,1,1
2907.1,1.36E+05,2509,2148.2,3,3,3,10,2,4,1,1,3,2,3,4,1,1,1,1,1,1,1
1295.5,1.27E+05,1886.2,92454,12,11,11,11,3,4,1,1,3,2,3,4,1,1,1,1,1,1,1
884.62,1798.1,1035.4,2798,12,6,4,9,1,2,2,1,3,2,3,4,1,1,1,1,1,1,1
485.95,9495.1,1016.3,11585,37,35,41,39,3,2,2,1,3,2,3,4,1,1,1,1,1,1,1
326.56,8621.6,1025.3,14552,23,41,27,35,3,3,2,1,3,2,3,4,1,1,1,1,1,1,1
