Variant,Expression,Promoter,Kozaks,Terminators
366,858.75,6,4,8
367,1126.25,7,4,8
368,978.66,8,4,8
369,1030.41,1,5,8
370,2052.46,2,5,8
371,712.02,3,5,8
372,860.03,4,5,8
373,1060.46,5,5,8
374,716.83,6,5,8
375,893.16,7,5,8
376,647.59,8,5,8
377,2321.06,1,6,8
378,10319.16,2,6,8
379,860.04,3,6,8
380,1071.45,4,6,8
381,5413.07,5,6,8
382,828.56,6,6,8
383,1096.10,7,6,8
384,868.84,8,6,8
